Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5148714,10315,0.002004,2.6767,2.0,0.010726
Abbeville,24527,31,0.001305,2.5664,1.9375,0.006487
Aiken,170872,406,0.002382,2.6767,2.0,0.012751
Allendale,8688,9,0.001151,2.6742,1.0,0.003078
Anderson,202558,291,0.001442,2.5635,2.0,0.007391
Bamberg,14066,10,0.000782,2.5423,1.25,0.002485
Barnwell,20866,33,0.001629,2.6642,2.0,0.008682
Beaufort,192122,488,0.002545,2.7756,2.0,0.014129
Berkeley,227907,424,0.001865,2.8031,2.0,0.010455
Calhoun,14553,14,0.001031,2.5723,2.0,0.005303
Charleston,411406,758,0.001845,2.6592,2.0,0.009812
Cherokee,57300,73,0.001291,2.8417,1.4314,0.005253
Chester,32244,92,0.002884,2.6816,2.0,0.015469
Chesterfield,45650,69,0.001533,2.5298,1.4082,0.005463
Clarendon,33745,95,0.002845,2.5952,2.0,0.014766
Colleton,37677,65,0.001752,2.6791,1.9118,0.008972
Darlington,66618,82,0.001246,2.5138,1.5185,0.004756
Dillon,30479,63,0.0021,2.5896,2.0,0.010875
Dorchester,162809,490,0.003016,2.7604,1.8992,0.015811
Edgefield,27260,31,0.001174,2.5392,1.8235,0.005435
Fairfield,22347,46,0.002103,2.6889,1.5862,0.00897
Florence,138293,217,0.001576,2.684,2.0,0.008462
Georgetown,62680,97,0.001563,2.7221,1.7018,0.007243
Greenville,523542,750,0.001434,2.6333,1.79,0.006761
Greenwood,70811,72,0.001031,2.5896,2.0,0.005339
Hampton,19222,42,0.002237,2.7538,2.0,0.01232
Horry,354081,1068,0.003019,2.8477,2.0,0.017195
Jasper,30073,71,0.002394,2.7927,2.0,0.013372
Kershaw,66551,197,0.002975,2.7582,1.6695,0.0137
Lancaster,98012,157,0.001612,2.6036,1.6882,0.007085
Laurens,67493,52,0.000785,2.4625,1.4054,0.002718
Lee,16828,24,0.001486,2.4365,2.0,0.007239
Lexington,298750,893,0.002992,2.7221,2.0,0.016291
McCormick,9463,18,0.002008,2.62,2.0,0.010521
Marion,30657,68,0.002251,2.6889,1.8378,0.011122
Marlboro,26118,42,0.001646,2.4552,2.0,0.008084
Newberry,38440,88,0.002315,2.5867,2.0,0.011978
Oconee,79546,134,0.001697,2.6306,2.0,0.008929
Orangeburg,86175,135,0.001578,2.7057,2.0,0.00854
Pickens,126884,182,0.001442,2.598,2.0,0.007494
Richland,415759,949,0.002285,2.5839,1.9133,0.011296
Saluda,20473,12,0.000635,2.4326,1.5,0.002317
Spartanburg,319785,484,0.001517,2.6816,1.806,0.007345
Sumter,106721,326,0.003064,2.6742,2.0,0.016388
Union,27316,39,0.001464,2.6036,1.3929,0.00531
Williamsburg,30368,49,0.001646,2.62,2.0,0.008627
York,280979,579,0.002064,2.6791,2.0,0.011061
