Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,12671821,11685,0.000922,2.4005,1.4639,0.003241
Adams,65435,365,0.005593,2.5924,1.5733,0.022813
Alexander,5761,10,0.001909,2.4169,1.25,0.005768
Bond,16426,24,0.001522,2.2312,2.0,0.006792
Boone,53544,54,0.001027,2.4939,1.7419,0.004462
Brown,6578,13,0.002128,2.1156,1.0,0.004503
Bureau,32628,25,0.000797,2.3702,1.4706,0.002777
Calhoun,4739,9,0.00211,2.0,2.0,0.008441
Carroll,14305,11,0.000839,2.4871,1.0,0.002086
Cass,12147,20,0.001729,2.4478,1.8182,0.007694
Champaign,209689,259,0.00124,2.3371,1.4971,0.004338
Christian,32304,50,0.001579,2.3791,1.5152,0.005691
Clark,15441,23,0.001554,2.6036,2.0,0.008093
Clay,13184,34,0.002655,2.8073,2.0,0.014905
Clinton,37562,84,0.002263,2.5138,2.0,0.011377
Coles,50621,49,0.000988,2.5235,1.5312,0.003817
Cook,5150233,2923,0.000568,2.3321,1.3049,0.001728
Crawford,18667,43,0.002357,2.4005,2.0,0.011317
Cumberland,10766,5,0.000557,2.6008,2.0,0.002899
DeKalb,104897,70,0.000677,2.3564,1.5909,0.002537
De Witt,15638,9,0.000639,2.361,1.0,0.00151
Douglas,19465,27,0.001438,2.4209,2.0,0.006965
DuPage,922921,654,0.00071,2.3702,1.5104,0.002541
Edgar,17161,20,0.001224,2.4129,1.4286,0.004218
Edwards,6395,22,0.003597,2.5664,1.1579,0.010688
Effingham,34008,35,0.001059,2.3835,1.75,0.004415
Fayette,21336,22,0.001078,2.2585,1.2222,0.002976
Ford,12961,34,0.0027,2.4625,2.0,0.013299
Franklin,38469,147,0.003847,2.6717,1.2783,0.013139
Fulton,34340,25,0.000757,2.3702,1.0,0.001795
Gallatin,4828,37,0.007871,2.8843,2.0,0.045404
Greene,12969,43,0.003393,2.7127,1.4333,0.013192
Grundy,51054,41,0.000823,2.4441,2.0,0.004021
Hamilton,8116,39,0.004929,2.6865,2.0,0.026481
Hancock,17708,41,0.002372,2.8437,1.0,0.006745
Hardin,3821,3,0.001047,2.1635,2.0,0.00453
Henderson,6646,0,0.00015,2.4005,1.0,0.000361
Henry,48913,42,0.000879,2.4129,1.1667,0.002475
Iroquois,27114,44,0.00166,2.4697,1.0,0.004099
Jackson,56750,138,0.002449,2.5267,1.0,0.006189
Jasper,9610,2,0.000312,2.3059,2.0,0.00144
Jefferson,37684,90,0.002415,2.6226,1.5789,0.01
Jersey,21773,36,0.001699,2.6306,1.6364,0.007315
Jo Daviess,21235,7,0.000377,2.3469,2.0,0.001768
Johnson,12417,42,0.003463,2.3702,1.8261,0.014988
Kane,532403,287,0.000541,2.4005,1.6686,0.002167
Kankakee,109862,53,0.000492,2.2948,1.2927,0.001458
Kendall,128990,105,0.000822,2.4478,2.0,0.004023
Knox,49699,31,0.000644,2.4129,1.9375,0.00301
Lake,696535,387,0.000557,2.4005,1.6125,0.002156
LaSalle,108669,83,0.000773,2.342,1.8864,0.003415
Lawrence,15678,19,0.001276,2.1416,1.1176,0.003053
Lee,34096,18,0.000557,2.1917,1.125,0.001374
