Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,7614893,6841,0.000899,2.4403,1.1091,0.002432
Adams,19983,15,0.000801,2.4088,2.0,0.003857
Asotin,22582,40,0.001816,2.4905,1.8182,0.008222
Benton,204390,629,0.003082,2.8672,1.4231,0.012577
Chelan,77200,85,0.001114,2.5361,1.9767,0.005585
Clallam,77331,54,0.000711,2.4767,1.102,0.001941
Clark,488241,440,0.000903,2.4365,1.4379,0.003164
Columbia,3985,12,0.003262,2.4403,2.0,0.015922
Cowlitz,110593,227,0.002062,2.533,2.0,0.010444
Douglas,43429,44,0.001036,2.4326,1.0,0.002521
Ferry,7627,7,0.001049,2.4403,1.0,0.00256
Franklin,95222,318,0.00335,2.9604,1.3033,0.012925
Garfield,2225,0,0.000449,2.4403,1.0,0.001097
Grant,97733,62,0.000645,2.3656,1.5122,0.002306
Grays Harbor,75061,66,0.000893,2.2891,1.1186,0.002286
Island,85141,54,0.000646,2.3469,1.0,0.001516
Jefferson,32221,27,0.000869,2.4939,2.0,0.004334
King,2252782,1380,0.000613,2.3702,1.149,0.00167
Kitsap,271473,155,0.000575,2.3878,1.2205,0.001675
Kittitas,47935,34,0.00073,2.4625,1.0,0.001798
Klickitat,22425,14,0.000669,2.5392,1.0,0.001698
Lewis,80707,59,0.000743,2.3747,1.0,0.001765
Lincoln,10939,19,0.001828,2.1635,2.0,0.007911
Mason,66768,36,0.000554,2.3921,1.3846,0.001835
Okanogan,42243,20,0.000497,2.2585,1.3333,0.001497
Pacific,22471,22,0.001024,2.5723,1.0,0.002633
Pend Oreille,13724,16,0.001239,2.4732,2.0,0.006127
Pierce,904980,916,0.001013,2.4973,1.21,0.003062
San Juan,17582,2,0.000171,2.2773,1.0,0.000389
Skagit,129205,80,0.000627,2.4005,1.0,0.001505
Skamania,12083,6,0.000579,2.5924,1.5,0.002253
Snohomish,822083,580,0.000707,2.4005,1.0,0.001697
Spokane,522798,560,0.001073,2.4365,1.0054,0.002629
Stevens,45723,45,0.001006,2.361,2.0,0.004751
Thurston,290536,243,0.00084,2.4248,1.0125,0.002062
Wahkiakum,4488,4,0.001114,2.5781,2.0,0.005744
Walla Walla,60760,142,0.002354,2.4209,1.0143,0.005779
Whatcom,229247,166,0.000728,2.4088,1.5514,0.002722
Whitman,50104,21,0.000439,2.4326,2.0,0.002136
Yakima,250873,248,0.000993,2.5924,1.0,0.002573
