Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5639632,3314,0.000588,2.3878,1.7789,0.002497
Aitkin,15886,10,0.000692,2.4403,2.0,0.003379
Anoka,356921,282,0.000793,2.3517,1.9583,0.003652
Becker,34423,9,0.000291,2.3921,1.5,0.001042
Beltrami,47188,17,0.000381,2.3059,1.4167,0.001246
Benton,40889,31,0.000783,2.4625,2.0,0.003854
Big Stone,4991,4,0.001002,2.4515,2.0,0.004912
Blue Earth,67653,29,0.000443,2.3747,1.0,0.001053
Brown,25008,7,0.00032,2.4478,1.0,0.000783
Carlton,35871,2,8.4e-05,2.1917,1.0,0.000183
Carver,105089,66,0.000638,2.3878,2.0,0.003045
Cass,29779,10,0.000369,2.4403,1.6667,0.001502
Chippewa,11800,4,0.000424,2.3113,1.0,0.000979
Chisago,56579,30,0.000548,2.2832,1.3043,0.001632
Clay,64222,11,0.000187,2.3371,1.0,0.000437
Clearwater,8818,3,0.000454,2.4552,2.0,0.002227
Cook,5463,0,0.000183,2.2163,1.0,0.000406
Cottonwood,11196,1,0.000179,2.2163,1.0,0.000396
Crow Wing,65055,38,0.000599,2.4589,1.3103,0.001932
Dakota,429021,250,0.000585,2.3564,1.7606,0.002427
Dodge,20934,23,0.001146,2.6333,1.9167,0.005786
Douglas,38141,31,0.000839,2.4515,2.0,0.004114
Faribault,13653,9,0.000732,2.5203,2.0,0.003692
Fillmore,21067,16,0.000807,2.4441,2.0,0.003944
Freeborn,30281,29,0.000991,2.5298,2.0,0.005013
Goodhue,46340,21,0.000475,2.3702,2.0,0.00225
Grant,5972,0,0.000167,2.252,1.0,0.000377
Hennepin,1265843,831,0.000657,2.3835,1.7064,0.002673
Houston,18600,11,0.000645,2.4005,2.0,0.003097
Hubbard,21491,12,0.000605,2.4209,2.0,0.002929
Isanti,40596,20,0.000517,2.3059,1.0,0.001193
Itasca,45130,12,0.000288,2.4088,1.7143,0.001189
Jackson,9846,1,0.000203,2.3656,1.0,0.000481
Kanabec,16337,3,0.000245,2.2084,1.0,0.000541
Kandiyohi,43199,33,0.000787,2.5267,2.0,0.003977
Kittson,4298,1,0.000465,2.5267,1.0,0.001176
Koochiching,12229,1,0.000164,2.2239,1.0,0.000364
Lac qui Parle,6623,1,0.000302,2.3747,1.0,0.000717
Lake,10641,8,0.000846,2.6333,1.0,0.002227
Lake of the Woods,3740,3,0.00107,2.2239,2.0,0.004757
Le Sueur,28887,17,0.000623,2.3747,2.0,0.002959
Lincoln,5639,1,0.000355,2.2084,1.0,0.000783
Lyon,25474,14,0.000589,2.4939,2.0,0.002937
McLeod,35893,24,0.000697,2.4732,2.0,0.003445
Mahnomen,5527,0,0.000181,2.4005,1.0,0.000434
Marshall,9336,2,0.000321,2.3004,1.0,0.000739
Martin,19683,7,0.000406,2.4837,1.0,0.001009
Meeker,23222,22,0.00099,2.6008,2.0,0.005152
Mille Lacs,26277,20,0.000799,2.4403,1.4286,0.002786
Morrison,33386,18,0.000569,2.4767,1.2857,0.001812
Mower,40062,13,0.000349,2.342,1.0,0.000818
Murray,8194,4,0.00061,2.3517,2.0,0.00287
Nicollet,34274,11,0.00035,2.361,1.0,0.000827
Nobles,21629,19,0.000925,2.5924,2.0,0.004794
Norman,6375,1,0.000314,2.2712,1.0,0.000713
Olmsted,158293,84,0.000537,2.3747,2.0,0.00255
Otter Tail,58746,26,0.00046,2.5073,1.7333,0.001997
Pennington,14119,3,0.000283,2.3469,1.0,0.000665
Pine,29579,8,0.000304,2.3469,1.1429,0.000816
Pipestone,9126,2,0.000329,2.2649,1.0,0.000745
Polk,31364,6,0.000223,2.2585,1.2,0.000605
Pope,11249,2,0.000267,2.3166,1.0,0.000618
Ramsey,550321,353,0.000643,2.3835,1.765,0.002706
Red Lake,4055,0,0.000247,2.3878,1.0,0.000589
Redwood,15170,8,0.000593,2.3702,1.0,0.001406
Renville,14548,11,0.000825,2.252,2.0,0.003715
Rice,66972,51,0.000776,2.5298,2.0,0.003929
Rock,9315,9,0.001074,2.5896,2.0,0.00556
Roseau,15165,7,0.000528,2.3963,1.0,0.001264
St. Louis,199070,108,0.000548,2.4047,2.0,0.002633
Scott,149013,77,0.000523,2.3878,1.0,0.00125
Sherburne,97238,62,0.000648,2.4169,1.5122,0.002368
Sibley,14865,4,0.000336,2.5752,2.0,0.001732
Stearns,161075,105,0.000658,2.5106,2.0,0.003304
Steele,36649,11,0.000327,2.2773,2.0,0.001491
Stevens,9805,1,0.000204,2.3878,1.0,0.000487
Swift,9266,4,0.00054,2.4326,2.0,0.002625
Todd,24664,15,0.000649,2.5781,1.6667,0.002787
Traverse,3259,2,0.000921,2.4732,1.0,0.002277
Wabasha,21627,5,0.000277,2.4209,2.0,0.001343
Wadena,13682,3,0.000292,2.3791,1.0,0.000696
Waseca,18612,11,0.000645,2.4973,1.1,0.001771
Washington,262440,146,0.00056,2.327,1.6044,0.002091
Watonwan,10897,1,0.000184,2.2891,1.0,0.00042
Wilkin,6207,8,0.00145,2.8378,2.0,0.008229
Winona,50484,29,0.000594,2.5723,2.0,0.003057
Wright,138377,97,0.000708,2.4552,1.94,0.003373
Yellow Medicine,9709,3,0.000412,2.3219,1.0,0.000957
