Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1068778,1111,0.00104,2.5515,1.8767,0.004982
Beaverhead,9453,6,0.000741,2.2948,2.0,0.003399
Big Horn,13319,9,0.000751,2.3835,2.0,0.003579
Blaine,6681,13,0.002095,2.6913,2.0,0.011279
Broadwater,6237,1,0.000321,2.6091,1.0,0.000837
Carbon,10725,14,0.001399,2.598,2.0,0.007267
Carter,1252,0,0.000799,2.5515,1.0,0.002038
Cascade,81366,132,0.001635,2.6118,2.0,0.008538
Chouteau,5635,1,0.000355,2.5515,1.0,0.000906
Custer,11402,0,8.8e-05,2.1635,1.0,0.00019
Daniels,1690,2,0.001775,2.9375,1.0,0.005215
Dawson,8613,10,0.001277,2.5575,2.0,0.006533
Deer Lodge,9140,21,0.002407,2.5664,1.0,0.006177
Fallon,2846,6,0.00246,2.5515,2.0,0.012551
Fergus,11050,11,0.001086,2.6145,2.0,0.005679
Flathead,103806,208,0.002013,2.8652,1.3684,0.007894
Gallatin,114434,94,0.00083,2.5361,1.7407,0.003665
Garfield,1258,0,0.000795,2.5515,1.0,0.002028
Glacier,13753,2,0.000218,2.2084,2.0,0.000963
Golden Valley,821,1,0.002436,2.5515,1.0,0.006216
Granite,3379,5,0.001776,3.0358,1.0,0.005391
Hill,16484,17,0.001092,2.6359,2.0,0.005757
Jefferson,12221,16,0.001391,2.4047,2.0,0.00669
Judith Basin,2007,1,0.000997,2.6091,1.0,0.0026
Lake,30458,27,0.000919,2.4939,2.0,0.004585
Lewis and Clark,69432,62,0.000907,2.5545,2.0,0.004636
Liberty,2337,1,0.000856,2.5515,1.0,0.002184
Lincoln,19980,40,0.002052,2.8217,2.0,0.01158
McCone,1664,0,0.000601,2.5515,1.0,0.001533
Madison,8600,9,0.001163,2.581,2.0,0.006002
Meagher,1862,1,0.001074,2.5515,1.0,0.002741
Mineral,4397,15,0.003639,2.6226,1.0,0.009543
Missoula,119600,130,0.001095,2.5605,2.0,0.005609
Musselshell,4633,0,0.000216,2.2649,1.0,0.000489
Park,16606,14,0.000903,2.504,1.0,0.002262
Petroleum,487,0,0.002053,2.5515,1.0,0.005239
Phillips,3954,3,0.001012,2.5515,1.0,0.002581
Pondera,5911,7,0.001353,2.4088,2.0,0.00652
Powder River,1682,0,0.000595,2.5515,1.0,0.001517
Powell,6890,4,0.000726,2.5454,2.0,0.003694
Prairie,1077,0,0.000929,2.5515,1.0,0.002369
Ravalli,43806,27,0.000639,2.4047,1.9286,0.002964
Richland,10803,3,0.00037,2.5781,1.0,0.000955
Roosevelt,11004,7,0.000727,2.4047,2.0,0.003496
Rosebud,8937,0,0.000112,2.3921,1.0,0.000268
Sanders,12113,4,0.000413,2.4871,1.3333,0.001369
Sheridan,3309,0,0.000302,2.5515,1.0,0.000771
Silver Bow,34915,6,0.0002,2.6306,1.0,0.000527
Stillwater,9642,3,0.000415,2.3564,1.0,0.000978
Sweet Grass,3737,0,0.000268,2.3469,1.0,0.000628
Teton,6147,7,0.001301,2.4552,1.4,0.004473
Toole,4736,10,0.002323,2.2832,1.0,0.005303
Treasure,696,0,0.001437,2.5515,1.0,0.003666
Valley,7396,3,0.000541,2.5267,2.0,0.002733
Wheatland,2126,0,0.00047,2.5073,1.0,0.001179
Wibaux,969,1,0.002064,2.5515,1.0,0.005266
Yellowstone,161300,158,0.000986,2.4005,1.7174,0.004064
