Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,2913314,5665,0.001945,2.6226,1.4869,0.007584
Allen,12369,42,0.003476,2.8318,2.0,0.019689
Anderson,7858,11,0.001527,2.6541,2.0,0.008106
Atchison,16073,92,0.005786,2.6937,2.0,0.031172
Barber,4427,3,0.000904,2.7735,1.5,0.003759
Barton,25779,36,0.001435,2.342,1.2857,0.004322
Bourbon,14534,93,0.006468,3.4337,1.2568,0.02791
Brown,9564,31,0.003346,2.8135,2.0,0.018827
Butler,66911,114,0.001719,2.6253,1.2667,0.005715
Chase,2648,2,0.001133,2.5781,1.0,0.002921
Chautauqua,3250,9,0.003077,2.5781,1.5,0.011899
Cherokee,19939,81,0.004113,3.0923,1.0125,0.012876
Cheyenne,2657,3,0.001505,3.055,1.5,0.006899
Clark,1994,1,0.001003,2.6226,1.0,0.002631
Clay,8002,21,0.002749,2.8594,1.5,0.011792
Cloud,8786,8,0.001024,2.7127,1.6,0.004446
Coffey,8179,7,0.000978,2.5896,1.0,0.002533
Comanche,1700,4,0.002941,2.6226,2.0,0.015427
Cowley,34908,72,0.002091,2.6515,2.0,0.01109
Crawford,38818,204,0.005281,3.1904,1.0,0.016849
Decatur,2827,1,0.000707,2.6226,1.0,0.001855
Dickinson,18466,38,0.002112,2.9811,1.1176,0.007037
Doniphan,7600,36,0.004868,2.7756,1.8,0.024323
Douglas,122259,124,0.001022,2.4871,1.0,0.002543
Edwards,2798,4,0.001787,2.6463,1.0,0.004729
Elk,2530,0,0.000395,2.6226,1.0,0.001037
Ellis,28553,11,0.00042,2.5235,1.0,0.001061
Ellsworth,6102,2,0.000492,2.4005,1.0,0.00118
Finney,36467,18,0.000521,2.6438,1.8,0.002479
Ford,33619,36,0.001101,2.4365,1.5,0.004022
Franklin,25544,86,0.003406,2.6592,2.0,0.018114
Geary,31670,58,0.001863,2.6667,1.0,0.004968
Gove,2636,0,0.000379,2.6463,1.0,0.001004
Graham,2482,0,0.000403,2.3371,1.0,0.000942
Grant,7150,19,0.002797,3.149,2.0,0.017617
Gray,5988,10,0.001837,2.6359,1.1111,0.00538
Greeley,1232,0,0.000812,2.6226,1.0,0.002129
Greenwood,5982,21,0.003678,3.1562,1.9091,0.02216
Hamilton,2539,1,0.000788,2.6226,1.0,0.002066
Harper,5436,6,0.001288,2.6173,1.5,0.005055
Harvey,34429,34,0.001017,2.3517,1.7,0.004064
Haskell,3968,6,0.001764,2.8691,2.0,0.010123
Hodgeman,1794,1,0.001115,2.6226,1.0,0.002924
Jackson,13171,23,0.001822,2.7493,1.0,0.00501
Jefferson,19043,33,0.001785,2.8417,1.65,0.008372
Jewell,2879,0,0.000347,2.6226,1.0,0.000911
Johnson,602401,1160,0.001927,2.5171,1.3663,0.006628
Kearny,3838,5,0.001563,2.6463,1.0,0.004137
Kingman,7152,16,0.002377,2.7104,2.0,0.012885
Kiowa,2475,3,0.001616,2.6463,2.0,0.008554
Labette,19618,106,0.005454,2.9159,2.0,0.031808
Lane,1535,4,0.003257,3.0146,1.0,0.009819
Leavenworth,81758,275,0.003376,2.8011,2.0,0.018912
Lincoln,2962,5,0.002026,3.055,1.0,0.006188
Linn,9703,54,0.005668,3.1135,2.0,0.035297
Logan,2794,4,0.00179,2.8176,1.0,0.005042
Lyon,33195,31,0.000964,2.5423,1.3478,0.003303
McPherson,28542,31,0.001121,2.7471,1.7222,0.005304
Marion,11884,10,0.000926,2.6063,2.0,0.004825
Marshall,9707,20,0.002163,2.7756,2.0,0.012009
Meade,4033,1,0.000496,2.5694,1.0,0.001274
Miami,34237,57,0.001694,2.5454,1.2667,0.005462
Mitchell,5979,5,0.001004,2.4732,1.6667,0.004136
Montgomery,31829,76,0.002419,2.7244,1.434,0.009451
Morris,5620,17,0.003203,2.925,2.0,0.018737
Morton,2587,3,0.001546,2.6226,1.0,0.004055
Nemaha,10231,22,0.002248,2.4939,2.0,0.011213
Neosho,16007,70,0.004436,2.8031,1.5217,0.018921
Ness,2750,5,0.002182,2.9777,1.6667,0.010828
Norton,5361,6,0.001306,3.1343,1.2,0.004911
Osage,15949,23,0.001505,2.6063,1.0,0.003922
Osborne,3421,1,0.000585,2.5267,1.0,0.001477
Ottawa,5704,12,0.002279,2.533,2.0,0.011546
Pawnee,6414,3,0.000624,2.8457,1.5,0.002662
Phillips,5234,4,0.000955,2.6566,2.0,0.005076
Pottawatomie,24383,57,0.002379,2.6889,1.3902,0.008892
Pratt,9164,10,0.0012,2.5723,1.4286,0.004411
Rawlins,2530,2,0.001186,2.6226,1.0,0.00311
Reno,61998,70,0.001145,2.5867,1.4583,0.00432
Republic,4636,2,0.000647,2.767,1.0,0.001791
Rice,9537,7,0.000839,2.4047,1.0,0.002017
Riley,74232,210,0.002842,2.6063,1.0,0.007408
Rooks,4920,8,0.001829,3.0954,2.0,0.011325
Rush,3036,3,0.001318,2.5073,1.0,0.003303
Russell,6856,6,0.001021,2.62,1.0,0.002675
Saline,54224,184,0.003412,2.7538,2.0,0.01879
Scott,4823,4,0.001037,2.7335,1.3333,0.003778
Sedgwick,516042,710,0.001378,2.5867,1.3004,0.004634
Seward,21428,40,0.001913,2.7313,1.6667,0.00871
Shawnee,176875,341,0.001934,2.5924,1.6238,0.008139
Sheridan,2521,0,0.000397,2.6226,1.0,0.00104
Sherman,5917,4,0.000845,2.6091,1.0,0.002205
Smith,3583,7,0.002233,2.6226,2.0,0.011712
Stafford,4156,10,0.002647,2.8919,2.0,0.015308
Stanton,2006,9,0.004985,2.6226,2.0,0.026148
Stevens,5485,10,0.002005,2.9674,2.0,0.011902
Sumner,22836,21,0.000963,2.4169,1.0,0.002328
Thomas,7777,5,0.000772,2.7735,1.0,0.00214
Trego,2803,4,0.001784,2.252,2.0,0.008034
Wabaunsee,6931,17,0.002597,2.9141,1.0,0.007568
Wallace,1518,3,0.002635,2.6226,1.5,0.010366
Washington,5406,8,0.001665,2.6091,2.0,0.008687
Wichita,2119,5,0.002832,2.6226,1.0,0.007426
Wilson,8525,18,0.002229,2.7335,1.5,0.009139
Woodson,3138,9,0.003187,2.8052,1.2857,0.011494
Wyandotte,165429,462,0.002799,2.6541,1.2762,0.00948
