Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,19453561,16932,0.00087,2.3219,1.8105,0.003659
Albany,305506,192,0.000632,2.3921,2.0,0.003022
Allegany,46091,6,0.000152,2.2585,1.0,0.000343
Bronx,1418207,1249,0.000881,2.3059,1.503,0.003055
Broome,190488,70,0.000373,2.3166,1.8421,0.001591
Cattaraugus,76117,36,0.000486,2.4478,2.0,0.00238
Cayuga,76576,40,0.000535,2.3321,2.0,0.002497
Chautauqua,126903,24,0.000197,2.2832,2.0,0.0009
Chemung,83456,23,0.000288,2.2453,1.5333,0.00099
Chenango,47207,40,0.000869,2.4047,2.0,0.004177
Clinton,80485,17,0.000224,2.2649,2.0,0.001013
Columbia,59461,35,0.000605,2.3113,2.0,0.002799
Cortland,47581,19,0.00042,2.2712,1.3571,0.001296
Delaware,44135,22,0.000521,2.361,2.0,0.002461
Dutchess,294218,186,0.000636,2.2948,1.8235,0.00266
Erie,918702,598,0.000652,2.3702,2.0,0.003091
Essex,36885,12,0.000352,2.2891,1.5,0.00121
Franklin,50022,7,0.00016,2.153,2.0,0.000689
Fulton,53383,18,0.000356,2.2948,2.0,0.001634
Genesee,57280,7,0.00014,2.2239,2.0,0.000621
Greene,47188,20,0.000445,2.342,1.0,0.001042
Hamilton,4416,2,0.000679,2.3219,1.0,0.001577
Herkimer,61319,28,0.000473,2.3059,2.0,0.002181
Jefferson,109834,43,0.000401,2.2585,2.0,0.00181
Kings,2559903,2880,0.001125,2.3219,1.44,0.003763
Lewis,26296,15,0.000608,2.2585,2.0,0.002748
Livingston,62914,17,0.000286,2.2712,2.0,0.0013
Madison,70941,13,0.000197,2.2712,1.4444,0.000647
Monroe,741770,433,0.000585,2.3219,2.0,0.002717
Montgomery,49221,25,0.000528,2.4005,2.0,0.002536
Nassau,1356924,1649,0.001216,2.3371,1.9844,0.005639
New York,1628706,1965,0.001207,2.2832,1.7132,0.004722
Niagara,209281,122,0.000588,2.3219,2.0,0.002729
Oneida,228671,89,0.000394,2.3113,2.0,0.001819
Onondaga,460528,300,0.000654,2.3517,2.0,0.003074
Ontario,109777,64,0.000592,2.3702,2.0,0.002807
Orange,384940,337,0.000878,2.3371,1.948,0.003997
Orleans,40352,5,0.000149,2.1001,1.0,0.000312
Oswego,117124,45,0.000393,2.3166,2.0,0.00182
Otsego,59493,31,0.000538,2.3004,2.0,0.002475
Putnam,98320,86,0.000885,2.3469,2.0,0.004153
Queens,2253858,2041,0.000906,2.3113,1.6058,0.003363
Rensselaer,158714,130,0.000825,2.4088,2.0,0.003976
Richmond,476143,748,0.001573,2.3702,1.4412,0.005374
Rockland,325789,38,0.00012,2.2891,1.0,0.000274
St. Lawrence,107740,41,0.00039,2.2585,1.7083,0.001504
Saratoga,229863,223,0.000974,2.3835,2.0,0.004645
Schenectady,155299,109,0.000708,2.3791,2.0,0.00337
Schoharie,30999,23,0.000774,2.4661,2.0,0.003819
Schuyler,17807,4,0.000281,2.2773,1.0,0.000639
Seneca,34016,18,0.000559,2.3747,2.0,0.002653
Steuben,95379,24,0.000262,2.3004,2.0,0.001206
Suffolk,1476601,1537,0.001042,2.3321,2.0,0.004858
Sullivan,75432,57,0.000769,2.3656,2.0,0.003638
Tioga,48203,18,0.000394,2.3113,2.0,0.001822
Tompkins,102180,68,0.000675,2.2832,2.0,0.003084
Ulster,177573,105,0.000597,2.3166,2.0,0.002766
Warren,63944,33,0.000532,2.2773,1.0645,0.001289
Washington,61204,26,0.000441,2.2585,2.0,0.001993
Wayne,89918,46,0.000523,2.342,2.0,0.002448
Westchester,967506,860,0.00089,2.3004,2.0,0.004094
Wyoming,39859,14,0.000376,2.2832,2.0,0.001718
Yates,24913,0,4e-05,2.1416,1.0,8.6e-05
