Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,884659,265,0.000301,2.5896,1.352,0.001053
Aurora,2751,0,0.000364,2.0,1.0,0.000727
Beadle,18453,1,0.000108,2.4209,1.0,0.000262
Bennett,3365,2,0.000892,2.4209,1.0,0.002158
Bon Homme,6901,0,0.000145,2.5896,1.0,0.000375
Brookings,35077,2,8.6e-05,2.4248,1.0,0.000207
Brown,38839,3,0.000103,2.6889,1.0,0.000277
Brule,5297,1,0.000378,2.8318,1.0,0.001069
Buffalo,1962,0,0.00051,2.8338,1.0,0.001444
Butte,10429,1,0.000192,2.4767,1.0,0.000475
Campbell,1376,0,0.000727,2.5896,1.0,0.001882
Charles Mix,9292,1,0.000215,2.2585,1.0,0.000486
Clark,3736,0,0.000268,2.5896,1.0,0.000693
Clay,14070,1,0.000142,2.8176,1.0,0.000401
Codington,28009,12,0.000464,2.6816,2.0,0.002489
Corson,4086,1,0.000489,2.8297,1.0,0.001385
Custer,8972,3,0.000446,2.5952,1.0,0.001157
Davison,19775,2,0.000152,2.4209,1.0,0.000367
Day,5424,1,0.000369,2.708,1.0,0.000999
Deuel,4351,6,0.001609,3.0862,1.0,0.004965
Dewey,5892,4,0.000849,2.2649,1.0,0.001922
Douglas,2921,1,0.000685,2.5896,1.0,0.001773
Edmunds,3829,0,0.000261,2.8457,1.0,0.000743
Fall River,6713,4,0.000745,2.598,1.3333,0.00258
Faulk,2299,0,0.000435,2.5896,1.0,0.001126
Grant,7052,0,0.000142,2.7313,1.0,0.000387
Gregory,4185,0,0.000239,2.7735,1.0,0.000663
Haakon,1899,0,0.000527,2.5896,1.0,0.001364
Hamlin,6164,1,0.000324,2.0,1.0,0.000649
Hand,3191,0,0.000313,2.5896,1.0,0.000812
Hanson,3453,1,0.000579,2.5896,1.0,0.0015
Harding,1298,0,0.00077,2.5896,1.0,0.001995
Hughes,17526,8,0.000514,2.5664,2.0,0.002636
Hutchinson,7291,0,0.000137,2.3835,1.0,0.000327
Hyde,1301,0,0.000769,2.5896,1.0,0.00199
Jackson,3344,2,0.000897,2.5361,1.0,0.002275
Jerauld,2013,0,0.000497,2.5896,1.0,0.001286
Jones,903,0,0.001107,2.5896,1.0,0.002868
Kingsbury,4939,2,0.000607,2.6333,1.0,0.001599
Lake,12797,1,0.000156,2.4209,1.0,0.000378
Lawrence,25844,11,0.000464,2.5171,1.2222,0.001428
Lincoln,61128,15,0.000262,2.6091,1.3636,0.000931
Lyman,3781,0,0.000264,2.5839,1.0,0.000683
McCook,5586,2,0.000537,3.0013,1.0,0.001612
McPherson,2379,0,0.00042,2.5896,1.0,0.001089
Marshall,4935,0,0.000203,2.5896,1.0,0.000525
Meade,28332,5,0.000212,2.533,1.0,0.000536
Mellette,2061,1,0.00097,2.5896,1.0,0.002513
Miner,2216,0,0.000451,2.5896,1.0,0.001169
Minnehaha,193134,80,0.000419,2.7426,1.4815,0.001704
Moody,6576,1,0.000304,2.9674,1.0,0.000902
Oglala Lakota,14177,4,0.000353,2.2239,1.0,0.000784
Pennington,113775,57,0.00051,2.5664,1.5,0.001962
Perkins,2865,0,0.000349,2.5896,1.0,0.000904
Potter,2153,0,0.000464,2.0,1.0,0.000929
Roberts,10394,4,0.000481,2.3835,2.0,0.002293
Sanborn,2344,0,0.000427,2.5896,1.0,0.001105
Spink,6376,1,0.000314,2.5267,1.0,0.000793
Stanley,3098,0,0.000323,2.0,1.0,0.000646
Sully,1391,1,0.001438,2.5896,1.0,0.003723
Todd,10177,1,0.000197,2.1734,1.0,0.000427
Tripp,5441,0,0.000184,2.708,1.0,0.000498
Turner,8384,7,0.000954,2.871,1.0,0.00274
Union,15932,11,0.000753,2.7313,1.5714,0.003233
Walworth,5435,1,0.000368,2.4005,1.0,0.000883
Yankton,22814,3,0.000175,2.5007,1.0,0.000438
Ziebach,2756,0,0.000363,2.5515,1.0,0.000926
