Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3956971,9459,0.002391,2.8318,1.4399,0.009748
Adair,22194,98,0.004461,3.3145,1.4848,0.021953
Alfalfa,5702,0,0.000175,2.4552,1.0,0.000431
Atoka,13758,13,0.001018,2.8614,1.0,0.002912
Beaver,5311,0,0.000188,2.8318,1.0,0.000533
Beckham,21859,33,0.001555,2.7335,2.0,0.008504
Blaine,9429,8,0.000955,2.5781,2.0,0.004922
Bryan,47995,114,0.002396,3.3309,1.2955,0.010339
Caddo,28762,34,0.001217,2.8031,2.0,0.006822
Canadian,148306,135,0.000917,2.7104,1.3918,0.003459
Carter,48111,178,0.003721,2.8806,2.0,0.021435
Cherokee,48657,112,0.002322,3.0628,1.8065,0.012849
Choctaw,14672,36,0.002522,2.9777,1.44,0.010813
Cimarron,2137,3,0.001872,2.8318,1.0,0.0053
Cleveland,284014,316,0.001116,2.7969,1.3921,0.004346
Coal,5495,4,0.00091,2.4732,1.0,0.00225
Comanche,120749,297,0.002468,2.8614,1.6875,0.011917
Cotton,5666,4,0.000882,2.708,1.3333,0.003186
Craig,14142,83,0.00594,3.0293,1.0921,0.019651
Creek,71522,282,0.003957,2.9012,2.0,0.022959
Custer,29003,38,0.001345,2.767,2.0,0.007441
Delaware,43009,134,0.003139,3.0358,1.0,0.009529
Dewey,4891,6,0.001431,2.7471,2.0,0.007863
Ellis,3859,8,0.002332,2.4552,2.0,0.011452
Garfield,61056,75,0.001245,2.6359,2.0,0.006562
Garvin,27711,75,0.002743,2.8114,2.0,0.015421
Grady,55834,46,0.000842,2.7713,1.7037,0.003974
Grant,4333,7,0.001846,3.0309,1.75,0.009793
Greer,5712,4,0.000875,2.5171,1.0,0.002203
Harmon,2653,2,0.001131,2.7174,1.0,0.003073
Harper,3688,4,0.001356,2.6913,1.0,0.003649
Haskell,12627,44,0.003564,3.112,2.0,0.022181
Hughes,13279,11,0.000904,2.7174,2.0,0.004911
Jackson,24530,29,0.001223,2.7426,2.0,0.006708
Jefferson,6002,13,0.002333,2.8176,2.0,0.013144
Johnston,11085,45,0.00415,2.767,1.6667,0.019137
Kay,43538,70,0.001631,2.62,1.7949,0.007669
Kingfisher,15765,13,0.000888,2.4973,1.3,0.002883
Kiowa,8708,13,0.001608,2.7267,2.0,0.008767
Latimer,10073,26,0.00268,2.871,1.3,0.010004
Le Flore,49853,134,0.002708,2.9604,1.5227,0.012207
Lincoln,34877,82,0.00238,2.7863,2.0,0.013262
Logan,48011,49,0.001041,2.6937,1.8148,0.005091
Love,10253,24,0.002438,2.8094,2.0,0.0137
McClain,40474,105,0.002619,2.89,1.6154,0.012227
McCurtain,32832,34,0.001066,3.2304,2.0,0.006888
McIntosh,19596,45,0.002347,2.9286,2.0,0.013749
Major,7629,11,0.001573,2.7174,2.0,0.008549
Marshall,16931,45,0.002717,2.7969,2.0,0.015198
Mayes,41100,107,0.002628,2.9913,1.0918,0.008582
Murray,14073,20,0.001492,3.055,1.0,0.004559
Muskogee,67997,261,0.003853,2.8956,2.0,0.022314
Noble,11131,25,0.002336,2.9141,1.7857,0.012155
Nowata,10076,20,0.002084,2.9499,2.0,0.012296
Okfuskee,11993,24,0.002085,2.8277,2.0,0.011789
Oklahoma,797434,1085,0.001362,2.7335,1.7388,0.006473
Okmulgee,38465,84,0.00221,2.8237,2.0,0.01248
Osage,46963,78,0.001682,2.9104,1.1642,0.0057
Ottawa,31127,179,0.005783,2.8052,1.0,0.016222
Pawnee,16376,44,0.002748,2.9604,1.4194,0.011547
Payne,81784,112,0.001382,2.8748,2.0,0.007944
Pittsburg,43654,117,0.002703,2.9534,2.0,0.015967
Pontotoc,38284,53,0.001411,2.6226,1.3947,0.00516
Pottawatomie,72592,134,0.00186,2.6791,2.0,0.009965
Pushmataha,11096,60,0.005497,3.189,1.9355,0.033932
Roger Mills,3583,7,0.002233,2.8318,1.0,0.006323
Rogers,92459,259,0.002812,2.9811,1.0197,0.008548
Seminole,24258,22,0.000948,2.6742,2.0,0.005071
Sequoyah,41569,87,0.002117,3.118,1.45,0.009571
Stephens,43143,85,0.001993,2.8862,2.0,0.011507
Texas,19983,26,0.001351,2.6913,2.0,0.007273
Tillman,7250,11,0.001655,2.756,2.0,0.009123
Tulsa,651552,1862,0.002859,2.8496,1.6625,0.013546
Wagoner,81289,143,0.001771,2.9375,1.4158,0.007368
Washington,51527,167,0.00326,2.9862,1.4397,0.014017
Washita,10916,16,0.001557,3.1562,1.6,0.007865
Woods,8793,19,0.002275,2.4441,2.0,0.011118
Woodward,20211,13,0.000693,2.5924,2.0,0.003591
