Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,9986857,4723,0.000473,2.4129,1.6354,0.001867
Alcona,10405,2,0.000288,2.3371,1.0,0.000674
Alger,9108,0,0.00011,2.4129,1.0,0.000265
Allegan,118081,73,0.000627,2.5007,2.0,0.003134
Alpena,28405,39,0.001408,2.6617,2.0,0.007496
Antrim,23324,4,0.000214,2.3921,1.0,0.000513
Arenac,14883,4,0.000336,2.342,1.0,0.000787
Baraga,8209,4,0.000609,2.2712,1.0,0.001383
Barry,61550,36,0.000601,2.5106,2.0,0.003018
Bay,103126,29,0.000291,2.4248,1.381,0.000974
Benzie,17766,5,0.000338,2.3371,1.0,0.000789
Berrien,153401,56,0.000372,2.4326,1.3659,0.001235
Branch,43517,86,0.001999,2.767,1.72,0.009515
Calhoun,134159,91,0.000686,2.4005,1.8571,0.003057
Cass,51787,33,0.000657,2.5203,1.1786,0.00195
Charlevoix,26143,25,0.000995,2.5781,2.0,0.005128
Cheboygan,25276,5,0.000237,2.3166,1.0,0.00055
Chippewa,37349,15,0.000428,2.3371,1.6667,0.001669
Clare,30950,15,0.000517,2.4552,2.0,0.002539
Clinton,79595,44,0.000565,2.4088,1.8333,0.002497
Crawford,14029,2,0.000214,2.4589,1.0,0.000526
Delta,35784,20,0.000587,2.4589,1.6667,0.002405
Dickinson,25239,10,0.000436,2.5423,1.0,0.001108
Eaton,110268,40,0.000372,2.4441,1.5385,0.001398
Emmet,33415,12,0.000389,2.2948,1.5,0.001339
Genesee,405813,152,0.000377,2.3963,1.4206,0.001283
Gladwin,25449,7,0.000314,2.4005,1.4,0.001056
Gogebic,13975,5,0.000429,2.1917,1.0,0.000941
Grand Traverse,93088,58,0.000634,2.4005,1.7059,0.002595
Gratiot,40711,14,0.000368,2.3963,1.0,0.000883
Hillsdale,45605,21,0.000482,2.4973,1.2353,0.001488
Houghton,35684,5,0.000168,2.327,1.0,0.000391
Huron,30981,22,0.000742,2.7626,2.0,0.004102
Ingham,292406,172,0.000592,2.4478,2.0,0.002896
Ionia,64697,37,0.000587,2.4837,1.5417,0.002249
Iosco,25127,9,0.000398,2.6412,1.8,0.001892
Iron,11066,6,0.000633,2.2312,1.0,0.001411
Isabella,69872,21,0.000315,2.4129,1.2353,0.000938
Jackson,158510,105,0.000669,2.3469,1.9811,0.003109
Kalamazoo,265066,147,0.000558,2.5073,2.0,0.0028
Kalkaska,18038,14,0.000832,2.7626,1.4,0.003216
Kent,656955,283,0.000432,2.4005,1.5989,0.001659
Keweenaw,2116,0,0.000473,2.4129,1.0,0.00114
Lake,11853,4,0.000422,2.4129,2.0,0.002036
Lapeer,87607,23,0.000274,2.3878,1.5333,0.001003
Leelanau,21761,9,0.00046,2.1635,1.8,0.00179
Lenawee,98451,43,0.000447,2.3921,1.72,0.001839
Livingston,191995,101,0.000531,2.4552,1.9423,0.002533
Luce,6229,1,0.000321,2.4088,1.0,0.000773
Mackinac,10799,0,9.3e-05,2.2163,1.0,0.000205
Macomb,873972,473,0.000542,2.4441,1.6655,0.002208
Manistee,24558,7,0.000326,2.3321,2.0,0.001519
Marquette,66699,2,4.5e-05,2.252,1.0,0.000101
Mason,29144,19,0.000686,2.4661,1.2667,0.002144
Mecosta,43453,2,6.9e-05,2.2712,1.0,0.000157
Menominee,22780,10,0.000483,2.3963,2.0,0.002314
Midland,83156,28,0.000349,2.3878,2.0,0.001665
Missaukee,15118,2,0.000198,2.2832,1.0,0.000453
Monroe,150500,73,0.000492,2.4478,1.6591,0.001997
Montcalm,63888,11,0.000188,2.3166,2.0,0.00087
Montmorency,9328,9,0.001072,2.6063,1.0,0.002794
Muskegon,173566,96,0.000559,2.4973,1.7143,0.002393
Newaygo,48980,11,0.000245,2.4248,1.1,0.000653
Oakland,1257584,663,0.000528,2.3747,1.4832,0.00186
Oceana,26467,3,0.000151,2.2712,1.0,0.000343
Ogemaw,20997,10,0.000524,2.4129,2.0,0.002528
Ontonagon,5720,3,0.000699,2.3835,2.0,0.003334
Osceola,23460,1,8.5e-05,2.2948,1.0,0.000196
Oscoda,8241,1,0.000243,2.3921,1.0,0.000581
Otsego,24668,3,0.000162,2.2832,1.0,0.00037
Ottawa,291830,107,0.00037,2.4365,1.7258,0.001556
Presque Isle,12592,4,0.000397,2.5267,2.0,0.002007
Roscommon,24019,5,0.00025,2.1416,2.0,0.00107
Saginaw,190539,146,0.000771,2.5298,1.8961,0.003701
St. Clair,159128,48,0.000308,2.3564,2.0,0.001451
St. Joseph,60964,39,0.000656,2.504,2.0,0.003286
Sanilac,41170,4,0.000121,2.3517,1.0,0.000286
Schoolcraft,8094,2,0.000371,2.4129,1.0,0.000894
Shiawassee,68122,41,0.000617,2.4732,1.8636,0.002842
Tuscola,52245,31,0.000612,2.4441,2.0,0.002994
Van Buren,75677,55,0.00074,2.5515,1.4474,0.002733
Washtenaw,367601,153,0.000419,2.3059,1.7191,0.001661
Wayne,1749343,747,0.000428,2.3878,1.4283,0.001458
Wexford,33631,11,0.000357,2.3321,2.0,0.001664
