Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,25459700,1530,6e-05,2.0578,1.4353,0.000178
Australian Capital Territory,428100,0,2e-06,2.0578,1.0,5e-06
New South Wales,8118000,1417,0.000175,2.0578,1.5727,0.000565
Northern Territory,245600,8,3.7e-05,2.0578,2.0,0.000151
Queensland,5115500,54,1.1e-05,2.0578,2.0,4.4e-05
South Australia,1756500,6,4e-06,2.0578,1.0,8e-06
Tasmania,535500,0,2e-06,2.0578,1.0,4e-06
Victoria,6629900,36,6e-06,2.0578,1.0,1.1e-05
Western Australia,2630600,10,4e-06,2.0578,1.0,9e-06
