Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,4648794,28836,0.006203,2.7197,1.7065,0.02879
Acadia,62045,297,0.004803,2.7626,2.0,0.026537
Allen,25627,114,0.004487,2.8691,2.0,0.02575
Ascension,126604,1228,0.009707,2.8806,1.5331,0.042869
Assumption,21891,157,0.007218,2.8135,1.4404,0.029249
Avoyelles,40144,186,0.004658,2.4661,2.0,0.022975
Beauregard,37497,163,0.004374,2.5575,1.8736,0.020957
Bienville,13241,49,0.003776,2.6985,2.0,0.02038
Bossier,127039,478,0.00377,2.7358,1.4984,0.015457
Caddo,240204,937,0.003905,2.7403,1.641,0.01756
Calcasieu,203436,756,0.003721,2.5545,1.7581,0.016712
Caldwell,9918,37,0.003831,2.6253,1.1562,0.01163
Cameron,6973,18,0.002725,2.8176,1.8,0.013819
Catahoula,9494,57,0.006109,2.4287,2.0,0.029675
Claiborne,15670,32,0.002106,2.7426,2.0,0.011551
Concordia,19259,157,0.008204,3.0195,2.0,0.049544
De Soto,27463,122,0.004479,2.8277,1.6712,0.021166
East Baton Rouge,440059,2977,0.006767,2.7471,1.7522,0.032574
East Carroll,6861,16,0.002478,2.6091,1.0,0.006465
East Feliciana,19135,196,0.010295,2.4169,2.0,0.049765
Evangeline,33395,162,0.004881,2.5924,2.0,0.025307
Franklin,20015,125,0.006295,2.4589,2.0,0.030958
Grant,22389,102,0.0046,2.7426,1.7586,0.022189
Iberia,69830,548,0.007862,2.9195,1.9571,0.044923
Iberville,32511,235,0.007259,2.7267,1.88,0.037211
Jackson,15744,34,0.002223,2.3371,1.36,0.007066
Jefferson,432493,2828,0.006541,2.767,1.8679,0.033807
Jefferson Davis,31368,114,0.003666,2.4661,2.0,0.018082
Lafayette,244390,1530,0.006265,2.7604,1.8389,0.0318
Lafourche,97614,896,0.009189,2.7174,1.42,0.035458
LaSalle,14892,61,0.004163,2.5267,1.1731,0.01234
Lincoln,46742,195,0.004193,2.767,2.0,0.023205
Livingston,140789,1305,0.009276,2.8477,1.5857,0.041887
Madison,10951,53,0.004931,2.6333,1.2045,0.015641
Morehouse,24874,167,0.006754,2.6515,1.3917,0.024922
Natchitoches,38158,109,0.002883,2.5605,1.6269,0.012008
Orleans,390144,1976,0.005067,2.6592,1.6385,0.022078
Ouachita,153279,904,0.005904,2.6463,1.671,0.026109
Plaquemines,23197,141,0.006121,2.6489,1.0522,0.017062
Pointe Coupee,21730,129,0.005983,2.7267,1.7432,0.028436
Rapides,129648,651,0.005029,2.5203,1.5917,0.020174
Red River,8442,9,0.001185,2.8614,1.0,0.003389
Richland,20122,111,0.005566,2.6642,1.5634,0.023183
Sabine,23884,66,0.002805,2.6541,1.4348,0.010682
St. Bernard,47244,326,0.006922,2.8862,1.5673,0.03131
St. Charles,53100,467,0.008814,2.8975,1.954,0.049899
St. Helena,10132,34,0.003454,2.7884,1.0968,0.010565
St. James,21096,181,0.008627,2.6412,2.0,0.045572
St. John the Baptist,42837,319,0.00747,2.8477,1.519,0.032314
St. Landry,82124,437,0.005333,2.6173,1.6808,0.023462
St. Martin,53431,337,0.006326,2.89,1.8315,0.033484
St. Mary,49348,431,0.008754,2.8297,1.3639,0.033787
St. Tammany,260419,1854,0.007123,2.7604,1.4439,0.028391
Tangipahoa,134758,1511,0.01122,2.7906,1.6958,0.053098
Tensas,4334,11,0.002769,2.5515,2.0,0.014129
Terrebonne,110461,830,0.007523,2.8176,1.9213,0.040725
Union,22108,121,0.005518,2.6145,1.4756,0.02129
Vermilion,59511,468,0.007881,2.8237,2.0,0.044506
Vernon,47429,220,0.00466,2.504,2.0,0.023335
Washington,46194,309,0.006711,2.7151,1.6094,0.029324
Webster,38340,155,0.004069,2.6091,1.9136,0.020315
West Baton Rouge,26465,230,0.008729,2.8555,2.0,0.049849
West Carroll,10830,51,0.004801,2.7538,2.0,0.026444
West Feliciana,15568,31,0.002055,2.8237,1.8235,0.010584
Winn,13904,78,0.005682,2.2003,2.0,0.025003
