Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3017804,13086,0.004337,2.6118,1.0247,0.011607
Arkansas,17486,128,0.007377,2.8843,1.219,0.02594
Ashley,19657,55,0.002849,2.3371,1.2791,0.008516
Baxter,41932,234,0.005604,2.684,1.0,0.015042
Benton,279141,1019,0.003654,2.5952,1.0,0.009483
Boone,37432,206,0.00553,2.756,1.0,0.015241
Bradley,10763,33,0.003159,2.5723,1.0,0.008126
Calhoun,5189,18,0.003662,2.6913,1.125,0.011086
Carroll,28380,108,0.003841,2.6463,1.0,0.010164
Chicot,10118,17,0.001779,2.6091,1.1333,0.00526
Clark,22320,79,0.003584,2.5605,1.254,0.011508
Clay,14551,30,0.00213,2.5839,1.0,0.005505
Cleburne,24919,149,0.00602,2.7713,1.0276,0.017142
Cleveland,7956,42,0.005405,2.7244,1.05,0.015461
Columbia,23457,69,0.002984,2.5664,1.3529,0.010362
Conway,20846,82,0.003982,2.6385,2.0,0.021011
Craighead,110332,571,0.005184,2.6438,1.0251,0.014051
Crawford,63257,186,0.002956,2.6145,1.0941,0.008457
Crittenden,47955,141,0.002961,2.7538,1.7407,0.014194
Cross,16419,68,0.004202,2.6306,1.0,0.011055
Dallas,7009,33,0.004851,2.4871,1.0,0.012065
Desha,11361,39,0.003521,2.62,1.4444,0.013324
Drew,18219,77,0.004281,2.729,1.4,0.016357
Faulkner,126007,621,0.004936,2.5781,1.0,0.012726
Franklin,17715,65,0.003726,2.6791,1.6667,0.016636
Fulton,12477,45,0.003687,2.62,1.0,0.009659
Garland,99386,536,0.005403,2.6791,1.0388,0.015037
Grant,18265,116,0.006406,2.8277,1.1485,0.020804
Greene,45325,235,0.005207,2.6118,1.2567,0.01709
Hempstead,21532,58,0.00274,2.3747,1.871,0.012174
Hot Spring,33771,209,0.006218,2.7426,1.0,0.017054
Howard,13202,42,0.003257,2.6489,1.0,0.008628
Independence,37825,158,0.004204,2.4403,1.0,0.010258
Izard,13629,59,0.004402,2.5361,1.0,0.011165
Jackson,16719,45,0.002751,2.3371,1.0,0.00643
Jefferson,66824,307,0.004609,2.4871,1.0,0.011463
Johnson,26578,117,0.00444,2.6063,1.481,0.017138
Lafayette,6624,24,0.003774,2.5423,2.0,0.01919
Lawrence,16406,36,0.002255,2.2312,1.0,0.005032
Lee,8857,28,0.003274,2.5605,1.6471,0.013808
Lincoln,13024,42,0.003302,2.6913,1.68,0.014928
Little River,12259,22,0.001876,2.3371,1.0,0.004385
Logan,21466,94,0.004426,2.7426,1.2208,0.014817
Lonoke,73309,408,0.005579,2.6717,1.0597,0.015796
Madison,16576,59,0.00362,2.8176,1.0,0.010199
Marion,16694,90,0.005451,2.7582,1.0,0.015035
Miller,43257,102,0.002381,2.4837,1.0,0.005914
Mississippi,40651,92,0.002288,2.6333,1.0337,0.006227
Monroe,6701,19,0.002985,2.5267,1.0,0.007541
Montgomery,8986,28,0.003227,3.055,1.3333,0.013145
Nevada,8252,23,0.002908,2.4871,1.0,0.007234
Newton,7753,59,0.007739,2.9393,1.4048,0.031954
Ouachita,23382,64,0.00278,2.4403,1.0,0.006784
Perry,10455,60,0.005835,2.7538,1.0,0.016067
Phillips,17782,113,0.006411,2.8843,1.0,0.018491
Pike,10718,47,0.004478,2.5423,1.0,0.011386
Poinsett,23528,104,0.004463,2.5423,1.0947,0.012421
Polk,19964,62,0.003156,2.5484,1.5897,0.012785
Pope,64072,226,0.003543,2.4625,1.2626,0.011015
Prairie,8062,36,0.004589,2.708,1.5,0.018643
Pulaski,391911,1961,0.005006,2.6692,1.0187,0.013613
Randolph,17958,44,0.002506,2.4365,1.2222,0.007462
St. Francis,24994,84,0.003401,2.6642,1.2,0.010873
Saline,122437,598,0.004892,2.6667,1.0,0.013046
Scott,10281,22,0.002237,2.5235,1.1579,0.006537
Searcy,7881,50,0.006471,2.6333,1.0,0.017041
Sebastian,127827,490,0.003841,2.5545,1.3499,0.013245
Sevier,17007,39,0.002352,2.4732,1.0,0.005817
Sharp,17442,106,0.006135,2.3921,1.493,0.021909
Stone,12506,70,0.005677,2.4697,1.25,0.017526
Union,38682,88,0.002301,2.5635,1.0476,0.006179
Van Buren,16545,71,0.004352,2.6937,1.1833,0.013872
Washington,239187,1014,0.004244,2.5203,1.2173,0.013019
White,78753,404,0.005143,2.5267,1.0745,0.013962
Woodruff,6320,35,0.005696,2.3059,1.8421,0.024196
Yell,21341,63,0.002999,2.5361,1.0,0.007606
