Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5758736,5793,0.001006,2.4129,1.931,0.004688
Adams,517421,511,0.00099,2.4973,1.8381,0.004542
Alamosa,16233,13,0.000862,2.4837,1.0,0.002142
Arapahoe,656590,572,0.000873,2.4326,2.0,0.004246
Archuleta,14029,26,0.001925,2.5267,1.5294,0.007437
Baca,3581,6,0.001955,2.2712,1.0,0.00444
Bent,5577,0,0.000179,2.2773,1.0,0.000408
Boulder,326196,306,0.000941,2.3656,2.0,0.004453
Broomfield,70465,69,0.000993,2.3878,2.0,0.004744
Chaffee,20356,25,0.001277,2.4697,1.9231,0.006066
Cheyenne,1831,0,0.000546,2.3835,1.0,0.001302
Clear Creek,9700,13,0.001443,2.5694,2.0,0.007417
Conejos,8205,6,0.000853,2.4365,2.0,0.004157
Costilla,3887,2,0.000772,2.6717,2.0,0.004124
Crowley,6061,1,0.00033,2.3113,1.0,0.000763
Custer,5068,3,0.000789,2.6541,2.0,0.00419
Delta,31162,28,0.000931,2.2773,1.2727,0.002697
Denver,727211,698,0.000961,2.3747,2.0,0.004565
Dolores,2055,2,0.00146,2.4871,1.0,0.003631
Douglas,351154,305,0.000871,2.4515,2.0,0.004273
Eagle,55127,53,0.00098,2.6036,1.2927,0.003297
Elbert,26729,30,0.00116,2.4552,2.0,0.005695
El Paso,720403,931,0.001294,2.4365,1.6391,0.005167
Fremont,47839,31,0.000669,2.3059,2.0,0.003085
Garfield,60061,66,0.001116,2.3564,1.4667,0.003855
Gilpin,6243,4,0.000801,2.5267,2.0,0.004047
Grand,15734,4,0.000318,2.5635,1.0,0.000815
Gunnison,17462,19,0.001145,2.4802,1.0,0.002841
Hinsdale,820,2,0.003659,2.4129,2.0,0.017655
Huerfano,6897,4,0.000725,2.3564,1.0,0.001708
Jackson,1392,0,0.000718,2.4129,1.0,0.001733
Jefferson,582881,529,0.000909,2.4047,2.0,0.004373
Kiowa,1406,0,0.000711,2.4129,1.0,0.001716
Kit Carson,7097,7,0.001127,2.2948,2.0,0.005174
Lake,8127,1,0.000246,2.7471,1.0,0.000676
La Plata,56221,48,0.000872,2.3656,2.0,0.004124
Larimer,356899,372,0.001045,2.4478,1.8507,0.004735
Las Animas,14506,32,0.002275,2.3371,2.0,0.010633
Lincoln,5701,3,0.000702,2.5106,2.0,0.003523
Logan,22409,1,8.9e-05,2.0818,1.0,0.000186
Mesa,154210,207,0.001349,2.3219,1.0725,0.003359
Mineral,769,3,0.005202,2.4129,1.5,0.018826
Moffat,13283,33,0.00256,2.6063,1.0,0.006671
Montezuma,26183,22,0.000878,2.2003,2.0,0.003866
Montrose,42758,71,0.001684,2.3921,2.0,0.008056
Morgan,29068,6,0.000241,2.1734,1.5,0.000785
Otero,18278,8,0.000492,2.2832,2.0,0.002248
Ouray,4952,4,0.00101,2.3469,2.0,0.004739
Park,18845,13,0.000743,2.5545,1.0,0.001898
Phillips,4265,2,0.000703,2.3113,1.0,0.001626
Pitkin,17767,32,0.001857,2.4326,2.0,0.009037
Prowers,12172,11,0.000986,2.327,2.0,0.004588
Pueblo,168424,125,0.000748,2.3113,1.9841,0.003431
Rio Blanco,6324,17,0.002846,2.4697,1.4167,0.009958
Rio Grande,11267,12,0.001154,2.3113,2.0,0.005334
Routt,25638,30,0.001209,2.3747,1.5789,0.004534
Saguache,6824,5,0.000879,2.361,1.0,0.002076
San Juan,728,0,0.001374,2.4129,1.0,0.003314
San Miguel,8179,8,0.0011,2.3702,1.1429,0.002981
Sedgwick,2248,1,0.00089,2.327,1.0,0.00207
Summit,31011,86,0.002805,2.6566,1.7917,0.013353
Teller,25388,33,0.001339,2.4248,1.5714,0.005103
Washington,4908,0,0.000204,2.2003,1.0,0.000448
Weld,324492,337,0.001042,2.4697,2.0,0.005145
Yuma,10019,4,0.000499,2.3004,1.3333,0.001531
