Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,11689100,8030,0.000687,2.4005,1.6076,0.002651
Adams,27698,40,0.00148,2.5723,1.1429,0.004352
Allen,102351,68,0.000674,2.6063,1.7436,0.003064
Ashland,53484,58,0.001103,2.4326,1.5263,0.004096
Ashtabula,97241,35,0.00037,2.2712,1.3462,0.001132
Athens,65327,20,0.000321,2.2832,2.0,0.001468
Auglaize,45656,29,0.000657,2.5138,2.0,0.003304
Belmont,67006,36,0.000552,2.4326,2.0,0.002687
Brown,43432,35,0.000829,2.4441,1.0938,0.002216
Butler,383134,319,0.000835,2.5007,1.6359,0.003417
Carroll,26914,18,0.000706,2.4625,1.8,0.003129
Champaign,38885,32,0.000849,2.3564,2.0,0.004
Clark,134083,75,0.000567,2.4047,1.875,0.002556
Clermont,206428,169,0.000824,2.4287,1.8571,0.003715
Clinton,41968,51,0.001239,2.6091,1.9615,0.006341
Columbiana,101883,63,0.000628,2.3371,1.0,0.001468
Coshocton,36600,16,0.000464,2.3963,1.4545,0.001619
Crawford,41494,29,0.000723,2.5073,1.16,0.002103
Cuyahoga,1235072,696,0.000564,2.3059,1.4262,0.001856
Darke,51113,31,0.000626,2.4169,2.0,0.003026
Defiance,38087,39,0.00105,2.4871,1.6957,0.004429
Delaware,209177,131,0.000631,2.4088,1.4239,0.002164
Erie,74266,65,0.000889,2.4287,2.0,0.004317
Fairfield,157574,162,0.001034,2.5235,2.0,0.005221
Fayette,28525,24,0.000876,2.4697,2.0,0.004329
Franklin,1316756,822,0.000625,2.3517,1.681,0.002471
Fulton,42126,61,0.001472,2.598,2.0,0.007647
Gallia,29898,35,0.001204,2.4478,1.0,0.002947
Geauga,93649,67,0.000726,2.3656,1.5581,0.002676
Greene,168937,190,0.001131,2.6118,1.9,0.005611
Guernsey,38875,31,0.000823,2.3835,1.8235,0.003578
Hamilton,817473,568,0.000696,2.4248,1.5106,0.00255
Hancock,75783,27,0.000369,2.3004,2.0,0.0017
Hardin,31365,10,0.000351,2.3321,1.25,0.001022
Harrison,15040,4,0.000332,2.3564,2.0,0.001567
Henry,27006,16,0.000629,2.4129,1.4545,0.002209
Highland,43161,43,0.001019,2.6667,2.0,0.005437
Hocking,28264,12,0.00046,2.2384,1.3333,0.001373
Holmes,43960,9,0.000227,2.4515,2.0,0.001115
Huron,58266,42,0.000738,2.4129,1.9091,0.003399
Jackson,32413,30,0.000956,2.4248,2.0,0.004638
Jefferson,65325,50,0.000781,2.3963,2.0,0.003742
Knox,62322,38,0.000626,2.4441,2.0,0.003059
Lake,230149,100,0.000439,2.3059,1.1494,0.001163
Lawrence,59463,87,0.00148,2.8217,1.381,0.005767
Licking,176862,106,0.000605,2.3835,1.2619,0.00182
Logan,45672,26,0.000591,2.4326,2.0,0.002876
Lorain,309833,215,0.000697,2.4129,1.443,0.002427
Lucas,428348,201,0.000472,2.3113,1.3767,0.001501
Madison,44731,20,0.000469,2.3059,2.0,0.002165
Mahoning,228683,163,0.000717,2.3702,1.0,0.0017
Marion,65093,60,0.000937,2.4326,2.0,0.004559
Medina,179746,148,0.000829,2.3702,1.8734,0.003681
Meigs,22907,17,0.000786,2.5515,1.3077,0.002622
Mercer,41172,17,0.000437,2.5267,1.3077,0.001445
Miami,106987,113,0.001066,2.5694,1.6143,0.00442
Monroe,13654,17,0.001318,2.3059,2.0,0.00608
Montgomery,531687,573,0.00108,2.5138,1.5321,0.004158
Morgan,14508,3,0.000276,2.4403,1.0,0.000673
Morrow,35328,15,0.000453,2.4326,2.0,0.002203
Muskingum,86215,67,0.000789,2.5007,2.0,0.003945
Noble,14424,5,0.000416,2.2712,1.0,0.000945
Ottawa,40525,26,0.000666,2.5298,2.0,0.003371
Paulding,18672,16,0.00091,2.5007,2.0,0.004553
Perry,36134,17,0.000498,2.3059,2.0,0.002297
Pickaway,58457,46,0.000804,2.2891,1.7037,0.003136
Pike,27772,19,0.00072,2.4365,2.0,0.003509
Portage,162466,103,0.00064,2.4365,1.5606,0.002434
Preble,40882,36,0.000905,2.5007,1.44,0.003259
Putnam,33861,12,0.000384,2.3963,1.0909,0.001004
Richland,121154,104,0.000867,2.504,1.9259,0.004179
Ross,76666,50,0.000665,2.4169,1.8519,0.002977
Sandusky,58518,48,0.000837,2.3878,2.0,0.003999
Scioto,75314,169,0.002257,2.5635,2.0,0.011573
Seneca,55178,10,0.000199,2.2453,2.0,0.000895
Shelby,48590,51,0.00107,2.4287,2.0,0.005198
Stark,370606,209,0.000567,2.361,1.3397,0.001792
Summit,541013,259,0.000481,2.3321,1.7986,0.002016
Trumbull,197974,130,0.000662,2.4515,1.0924,0.001772
Tuscarawas,91987,33,0.00037,2.3564,1.7368,0.001513
Union,58988,30,0.000526,2.2585,1.3636,0.001619
Van Wert,28275,21,0.000778,2.4871,1.9091,0.003694
Vinton,13085,5,0.000459,2.2832,2.0,0.002094
Warren,234602,188,0.000806,2.4441,1.6491,0.003247
Washington,59911,25,0.000434,2.4661,1.087,0.001163
Wayne,115710,62,0.000544,2.3747,1.6757,0.002167
Williams,36692,38,0.001063,2.3469,1.6522,0.004121
Wood,130817,65,0.000505,2.3963,2.0,0.002418
Wyandot,21772,11,0.000551,2.3469,2.0,0.002587
