Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1934408,1611,0.000833,2.7104,1.6472,0.003721
Adams,31363,0,3.2e-05,2.3835,1.0,7.6e-05
Antelope,6298,0,0.000159,2.7471,1.0,0.000436
Arthur,463,0,0.00216,2.7104,1.0,0.005854
Banner,745,0,0.001342,2.7104,1.0,0.003638
Blaine,465,0,0.002151,2.7104,1.0,0.005829
Boone,5192,0,0.000193,2.8176,1.0,0.000543
Box Butte,10783,0,9.3e-05,3.1706,1.0,0.000294
Boyd,1919,0,0.000521,2.7104,1.0,0.001412
Brown,2955,0,0.000338,2.7104,1.0,0.000917
Buffalo,49659,0,2e-05,2.7538,1.0,5.5e-05
Burt,6459,0,0.000155,2.5267,1.0,0.000391
Butler,8016,0,0.000125,2.5781,1.0,0.000322
Cass,26248,0,3.8e-05,2.5605,1.0,9.8e-05
Cedar,8402,0,0.000119,2.6667,1.0,0.000317
Chase,3924,0,0.000255,2.0,1.0,0.00051
Cherry,5689,0,0.000176,2.5515,1.0,0.000448
Cheyenne,8910,0,0.000112,3.055,1.0,0.000343
Clay,6203,0,0.000161,2.7174,1.0,0.000438
Colfax,10709,0,9.3e-05,2.252,1.0,0.00021
Cuming,8846,0,0.000113,2.3564,1.0,0.000266
Custer,10777,0,9.3e-05,3.3705,1.0,0.000313
Dakota,20026,0,5e-05,2.5454,1.0,0.000127
Dawes,8589,0,0.000116,2.9552,1.0,0.000344
Dawson,23595,0,4.2e-05,2.6566,1.0,0.000113
Deuel,1794,0,0.000557,2.7104,1.0,0.001511
Dixon,5636,0,0.000177,2.8919,1.0,0.000513
Dodge,36565,0,2.7e-05,2.9268,1.0,8e-05
Douglas,571327,0,2e-06,2.708,1.0,5e-06
Dundy,1693,0,0.000591,2.9552,1.0,0.001746
Fillmore,5462,0,0.000183,2.4552,1.0,0.00045
Franklin,2979,0,0.000336,2.7104,1.0,0.00091
Frontier,2627,0,0.000381,2.7799,1.0,0.001058
Furnas,4676,0,0.000214,2.7104,1.0,0.00058
Gage,21513,0,4.6e-05,2.9777,1.0,0.000138
Garden,1837,0,0.000544,2.7104,1.0,0.001475
Garfield,1969,0,0.000508,2.7104,1.0,0.001377
Gosper,1990,0,0.000503,2.7104,1.0,0.001362
Grant,623,0,0.001605,2.7104,1.0,0.004351
Greeley,2356,0,0.000424,2.7104,1.0,0.00115
Hall,61353,0,1.6e-05,2.7335,1.0,4.5e-05
Hamilton,9324,0,0.000107,3.047,1.0,0.000327
Harlan,3380,0,0.000296,2.7104,1.0,0.000802
Hayes,922,0,0.001085,2.7104,1.0,0.00294
Hitchcock,2762,0,0.000362,2.5635,1.0,0.000928
Holt,10067,0,9.9e-05,2.6913,1.0,0.000267
Hooker,682,0,0.001466,2.7104,1.0,0.003974
Howard,6445,0,0.000155,2.8937,1.0,0.000449
Jefferson,7046,0,0.000142,2.8937,1.0,0.000411
Johnson,5071,0,0.000197,2.7174,1.0,0.000536
Kearney,6495,0,0.000154,3.3632,1.0,0.000518
Keith,8034,0,0.000124,2.8052,1.0,0.000349
Keya Paha,806,0,0.001241,2.7104,1.0,0.003363
Kimball,3632,0,0.000275,2.7104,1.0,0.000746
Knox,8332,0,0.00012,2.4871,1.0,0.000299
Lancaster,319090,0,3e-06,2.6566,1.0,8e-06
Lincoln,34914,0,2.9e-05,2.6226,1.0,7.5e-05
Logan,748,0,0.001337,2.7104,1.0,0.003624
Loup,664,0,0.001506,2.7104,1.0,0.004082
McPherson,494,0,0.002024,2.7104,1.0,0.005487
Madison,35099,0,2.8e-05,2.8536,1.0,8.1e-05
Merrick,7755,0,0.000129,2.6592,1.0,0.000343
Morrill,4642,0,0.000215,2.5515,1.0,0.00055
Nance,3519,0,0.000284,2.7104,1.0,0.00077
Nemaha,6972,0,0.000143,2.6463,1.0,0.00038
Nuckolls,4148,0,0.000241,2.7104,1.0,0.000653
Otoe,16012,0,6.2e-05,2.6692,1.0,0.000167
Pawnee,2613,0,0.000383,2.7104,1.0,0.001037
Perkins,2891,0,0.000346,3.055,1.0,0.001057
Phelps,9034,0,0.000111,3.2182,1.0,0.000356
Pierce,7148,0,0.00014,2.4732,1.0,0.000346
Platte,33470,0,3e-05,2.7863,1.0,8.3e-05
Polk,5213,0,0.000192,2.7799,1.0,0.000533
Red Willow,10724,0,9.3e-05,2.5203,1.0,0.000235
Richardson,7865,0,0.000127,2.4326,1.0,0.000309
Rock,1357,0,0.000737,2.7104,1.0,0.001997
Saline,14224,0,7e-05,2.5723,1.0,0.000181
Sarpy,187196,0,5e-06,2.6385,1.0,1.4e-05
Saunders,21578,0,4.6e-05,2.8956,1.0,0.000134
Scotts Bluff,35618,0,2.8e-05,2.7127,1.0,7.6e-05
Seward,17284,0,5.8e-05,2.8378,1.0,0.000164
Sheridan,5246,0,0.000191,3.4453,1.0,0.000657
Sherman,3001,0,0.000333,2.7104,1.0,0.000903
Sioux,1166,0,0.000858,2.7104,1.0,0.002325
Stanton,5920,0,0.000169,2.7104,1.0,0.000458
Thayer,5003,0,0.0002,2.6463,1.0,0.000529
Thomas,722,0,0.001385,2.7104,1.0,0.003754
Thurston,7224,0,0.000138,2.62,1.0,0.000363
Valley,4158,0,0.000241,2.7104,1.0,0.000652
Washington,20729,0,4.8e-05,2.9534,1.0,0.000142
Wayne,9385,0,0.000107,2.7104,1.0,0.000289
Webster,3487,0,0.000287,2.7104,1.0,0.000777
Wheeler,783,0,0.001277,2.7104,1.0,0.003462
York,13679,0,7.3e-05,2.729,1.0,0.0002
