Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,10488084,16147,0.00154,2.5839,1.7836,0.007096
Alamance,169509,161,0.000956,2.5298,1.5631,0.003779
Alexander,37497,50,0.00136,2.5952,1.2821,0.004525
Alleghany,11137,4,0.000449,2.3791,1.0,0.001068
Anson,24446,20,0.000859,2.6253,1.1111,0.002506
Ashe,27203,35,0.001323,2.5781,2.0,0.006824
Avery,17557,16,0.000968,2.4047,1.3333,0.003105
Beaufort,46994,41,0.000894,2.5267,1.5769,0.003561
Bertie,18947,8,0.000475,2.2832,1.3333,0.001446
Bladen,32722,128,0.003942,2.8691,1.8028,0.020391
Brunswick,142820,269,0.00189,2.6889,2.0,0.010167
Buncombe,261191,328,0.00126,2.5235,2.0,0.006357
Burke,90485,151,0.00168,2.5203,2.0,0.008467
Cabarrus,216453,367,0.0017,2.6226,1.6096,0.007177
Caldwell,82178,93,0.001144,2.581,1.7885,0.00528
Camden,10867,6,0.000644,2.708,1.5,0.002617
Carteret,69473,65,0.00095,2.5952,2.0,0.004931
Caswell,22604,19,0.000885,2.5723,1.1875,0.002703
Catawba,159551,229,0.001442,2.6253,1.6475,0.006235
Chatham,74470,83,0.001128,2.5635,2.0,0.005783
Cherokee,28612,38,0.001363,2.6306,1.3571,0.004866
Chowan,13943,17,0.001291,2.5752,1.5455,0.005138
Clay,11231,18,0.001692,2.5952,2.0,0.008781
Cleveland,97947,191,0.00196,2.6889,1.5528,0.008185
Columbus,55508,230,0.004162,2.6617,1.4935,0.016543
Craven,102139,85,0.000842,2.4403,1.4655,0.003011
Cumberland,335509,818,0.002441,2.8277,1.3476,0.009302
Currituck,27763,30,0.001117,2.8135,2.0,0.006283
Dare,37009,71,0.001945,2.684,1.7317,0.009042
Davidson,167609,246,0.001474,2.684,2.0,0.007911
Davie,42846,61,0.001447,2.5752,2.0,0.007453
Duplin,58741,192,0.003286,2.6667,2.0,0.017524
Durham,321488,242,0.000756,2.3963,1.876,0.003398
Edgecombe,51472,55,0.001088,2.504,1.1458,0.003122
Forsyth,382295,465,0.001219,2.5361,2.0,0.006183
Franklin,69685,89,0.001292,2.4905,1.7115,0.005505
Gaston,224529,365,0.00163,2.684,2.0,0.00875
Gates,11562,7,0.000692,2.7197,1.75,0.003293
Graham,8441,23,0.002843,2.6742,2.0,0.015207
Granville,60443,58,0.000976,2.4326,2.0,0.004749
Greene,21069,40,0.001946,2.504,1.4286,0.006961
Guilford,537174,566,0.001056,2.4871,2.0,0.00525
Halifax,50010,75,0.00152,2.581,2.0,0.007845
Harnett,135976,273,0.002015,2.7381,1.7613,0.009718
Haywood,62317,94,0.001524,2.6889,2.0,0.008198
Henderson,117417,196,0.001678,2.6412,1.7818,0.007896
Hertford,23677,5,0.000253,2.4088,1.0,0.00061
Hoke,55234,135,0.002462,2.6489,1.5169,0.009893
Hyde,4937,3,0.00081,2.4005,1.0,0.001945
Iredell,181806,266,0.001469,2.6091,1.9275,0.007386
Jackson,43938,65,0.001502,2.6515,2.0,0.007966
Johnston,209339,361,0.001729,2.6592,1.3321,0.006125
Jones,9419,13,0.001486,2.6253,2.0,0.007804
Lee,61779,135,0.002201,2.6489,2.0,0.011663
Lenoir,55949,76,0.001376,2.5138,2.0,0.006919
Lincoln,86111,178,0.002079,2.6937,2.0,0.011199
McDowell,45756,42,0.00094,2.4287,1.05,0.002397
Macon,35858,13,0.00039,2.5605,2.0,0.001999
Madison,21755,27,0.001287,2.6253,1.4211,0.004802
Martin,22440,31,0.001426,2.6767,1.0,0.003817
Mecklenburg,1110356,2170,0.001955,2.6118,1.7964,0.009173
Mitchell,14964,5,0.000401,2.3878,2.0,0.001915
Montgomery,27173,20,0.000773,2.5635,1.0,0.001981
Moore,100880,181,0.001804,2.7267,1.7745,0.008729
Nash,94298,73,0.000785,2.5235,2.0,0.003961
New Hanover,234473,301,0.001288,2.5106,2.0,0.006467
Northampton,19483,13,0.000719,2.4625,1.0,0.001769
Onslow,197938,352,0.001783,2.6489,1.3538,0.006396
Orange,148476,89,0.000606,2.3747,2.0,0.002879
Pamlico,12726,10,0.000864,2.5171,1.0,0.002176
Pasquotank,39824,18,0.000477,2.4589,2.0,0.002346
Pender,63060,124,0.001982,2.7471,1.4762,0.008038
Perquimans,13463,6,0.00052,2.4905,1.0,0.001295
Person,39490,49,0.001266,2.5267,1.8148,0.005806
Pitt,180742,367,0.002036,2.6566,1.835,0.009926
Polk,20724,17,0.000869,2.6359,1.1333,0.002595
Randolph,143667,180,0.00126,2.5896,2.0,0.006525
Richmond,44829,122,0.002744,2.7358,1.2079,0.009067
Robeson,130625,491,0.003767,2.6091,1.8118,0.017805
Rockingham,91010,109,0.001209,2.5664,2.0,0.006204
Rowan,142088,217,0.001534,2.7033,1.55,0.006429
Rutherford,67029,124,0.001865,2.7906,1.494,0.007775
Sampson,63531,107,0.0017,2.6145,1.4459,0.006427
Scotland,34823,86,0.002498,2.6463,1.3231,0.008748
Stanly,62806,115,0.001847,2.6438,2.0,0.009766
Stokes,45591,87,0.00193,2.7538,2.0,0.010631
Surry,71783,126,0.001769,2.6008,1.4483,0.006664
Swain,14271,20,0.001472,2.7799,2.0,0.008181
Transylvania,34385,69,0.002036,2.871,1.725,0.010082
Tyrrell,4016,11,0.002988,2.8052,1.0,0.008382
Union,239859,426,0.00178,2.6333,1.9907,0.009332
Vance,44535,35,0.000808,2.4169,2.0,0.003907
Wake,1111761,1520,0.001368,2.504,1.7312,0.005931
Warren,19731,12,0.000659,2.342,2.0,0.003086
Washington,11580,3,0.000345,2.5752,1.5,0.001334
Watauga,56177,25,0.000463,2.4326,1.1905,0.00134
Wayne,123131,146,0.001194,2.4478,1.6222,0.004741
Wilkes,68412,132,0.001944,2.6489,2.0,0.0103
Wilson,81801,60,0.000746,2.4248,1.1538,0.002086
Yadkin,37667,100,0.002681,2.7057,2.0,0.01451
Yancey,18069,60,0.003376,3.008,2.0,0.02031
