Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,2096829,1929,0.00092,2.4169,1.4861,0.003306
Bernalillo,679121,604,0.000891,2.3878,1.4178,0.003016
Catron,3527,0,0.000284,2.5781,1.0,0.000731
Chaves,64615,90,0.001408,2.3835,2.0,0.006713
Cibola,26675,7,0.0003,2.4129,1.0,0.000724
Colfax,11941,11,0.001005,2.7648,2.0,0.005557
Curry,48954,56,0.001164,2.5392,1.3659,0.004038
De Baca,1748,0,0.000572,2.4169,1.0,0.001383
Dona Ana,218195,124,0.000573,2.3921,1.9375,0.002655
Eddy,58460,205,0.003524,2.7515,1.8981,0.018404
Grant,26998,14,0.000556,2.361,2.0,0.002624
Guadalupe,4300,3,0.00093,2.4169,1.0,0.002248
Harding,625,0,0.0016,2.4169,1.0,0.003867
Hidalgo,4198,19,0.004764,2.8594,1.4615,0.01991
Lea,71070,115,0.001632,2.4589,2.0,0.008027
Lincoln,19572,52,0.002708,2.7948,2.0,0.015136
Los Alamos,19369,5,0.00031,2.3166,2.0,0.001435
Luna,23709,11,0.000506,2.2384,1.2222,0.001385
McKinley,71367,55,0.000785,2.4088,1.7742,0.003353
Mora,4521,1,0.000442,2.2585,1.0,0.000999
Otero,67490,28,0.00043,2.4088,1.0,0.001035
Quay,8253,14,0.001818,2.6889,2.0,0.009774
Rio Arriba,38921,33,0.000874,2.5235,2.0,0.004409
Roosevelt,18500,24,0.001351,2.5171,2.0,0.006803
Sandoval,146748,126,0.000865,2.3747,1.68,0.003453
San Juan,123958,112,0.000912,2.4209,1.3659,0.003014
San Miguel,27277,17,0.00066,2.342,1.0,0.001545
Santa Fe,150358,77,0.000519,2.3517,1.2031,0.001468
Sierra,10791,4,0.000463,2.1293,2.0,0.001973
Socorro,16637,8,0.000541,2.5423,2.0,0.002751
Taos,32723,10,0.000336,2.1734,1.0,0.000731
Torrance,15461,14,0.00097,2.6566,2.0,0.005155
Union,4059,0,0.000246,2.4403,1.0,0.000601
Valencia,76688,55,0.00073,2.3517,1.0185,0.001749
