Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5822434,5121,0.00088,2.504,2.0,0.004406
Adams,20220,10,0.000544,2.3835,1.0,0.001297
Ashland,15562,13,0.0009,2.2084,2.0,0.003974
Barron,45244,15,0.000354,2.4326,2.0,0.001721
Bayfield,15036,9,0.000665,2.2163,1.125,0.001658
Brown,264542,143,0.000544,2.4837,2.0,0.002704
Buffalo,13031,14,0.001151,2.4732,1.4,0.003986
Burnett,15414,12,0.000843,2.5361,2.0,0.004278
Calumet,50089,33,0.000679,2.5361,1.4348,0.00247
Chippewa,64658,46,0.000727,2.6515,2.0,0.003855
Clark,34774,26,0.000776,2.5423,1.5294,0.003019
Columbia,57532,43,0.000765,2.4552,2.0,0.003755
Crawford,16131,5,0.000372,2.3791,1.6667,0.001475
Dane,546695,384,0.000704,2.3791,2.0,0.003351
Dodge,87839,81,0.000934,2.4802,2.0,0.004631
Door,27668,8,0.000325,2.3219,2.0,0.001511
Douglas,43150,11,0.000278,2.3564,1.1,0.000721
Dunn,45368,25,0.000573,2.5454,1.25,0.001823
Eau Claire,104646,83,0.000803,2.5515,2.0,0.004096
Florence,4295,0,0.000233,2.4552,1.0,0.000572
Fond du Lac,103403,50,0.000493,2.4552,1.6667,0.002018
Forest,9004,8,0.001,2.2832,1.3333,0.003043
Grant,51439,7,0.000156,2.2239,1.0,0.000346
Green,36960,9,0.000271,2.3878,1.0,0.000646
Green Lake,18913,8,0.000476,2.3469,1.3333,0.001489
Iowa,23678,8,0.00038,2.4478,2.0,0.001861
Iron,5687,9,0.001758,2.628,2.0,0.009242
Jackson,20643,8,0.000436,2.3113,1.3333,0.001344
Jefferson,84769,54,0.000649,2.4403,2.0,0.003167
Juneau,26687,10,0.000412,2.3469,1.4286,0.001382
Kenosha,169561,139,0.000826,2.4661,2.0,0.004072
Kewaunee,20434,4,0.000245,2.4515,1.0,0.0006
La Crosse,118016,58,0.0005,2.3321,2.0,0.002332
Lafayette,16665,7,0.00048,2.4905,2.0,0.002391
Langlade,19189,2,0.000156,2.2948,1.0,0.000359
Lincoln,27593,19,0.000725,2.5781,2.0,0.003737
Manitowoc,78981,31,0.000405,2.4552,1.9375,0.001927
Marathon,135692,68,0.000509,2.4661,2.0,0.002508
Marinette,40350,13,0.000347,2.5106,1.625,0.001416
Marquette,15574,9,0.000642,2.3835,1.5,0.002296
Menominee,4556,4,0.001097,2.3321,1.0,0.002559
Milwaukee,945726,1773,0.001876,2.5952,2.0,0.009736
Monroe,46253,23,0.000519,2.361,2.0,0.00245
Oconto,37930,30,0.000817,2.6767,2.0,0.004375
Oneida,35595,16,0.000478,2.3517,1.0,0.001123
Outagamie,187885,104,0.000559,2.5007,2.0,0.002795
Ozaukee,89221,103,0.001166,2.6173,2.0,0.006102
Pepin,7287,10,0.00151,2.3921,1.6667,0.006018
Pierce,42754,13,0.000327,2.2948,1.3,0.000977
Polk,43783,12,0.000297,2.361,2.0,0.001402
Portage,70772,49,0.000706,2.5454,2.0,0.003597
Price,13351,2,0.000225,2.4589,1.0,0.000553
Racine,196311,203,0.001039,2.5138,2.0,0.005225
Richland,17252,9,0.00058,2.5298,2.0,0.002933
Rock,163354,128,0.00079,2.504,2.0,0.003955
Rusk,14178,9,0.000705,2.4871,2.0,0.003508
St. Croix,90687,38,0.00043,2.3835,1.4615,0.001498
Sauk,64442,39,0.000621,2.4767,1.2581,0.001934
Sawyer,16558,10,0.000664,2.342,1.4286,0.002223
Shawano,40899,12,0.000318,2.4005,1.0,0.000763
Sheboygan,115340,77,0.000676,2.598,1.9744,0.003469
Taylor,20343,5,0.000295,2.4365,1.0,0.000719
Trempealeau,29649,20,0.000708,2.5361,2.0,0.003593
Vernon,30822,9,0.000324,2.5106,1.0,0.000815
Vilas,22195,12,0.000586,2.5361,2.0,0.002971
Walworth,103868,80,0.00078,2.4802,2.0,0.003868
Washburn,15720,9,0.000636,2.5545,1.2857,0.002089
Washington,136034,106,0.000787,2.628,1.7667,0.003652
Waukesha,404198,534,0.001324,2.598,2.0,0.006877
Waupaca,50990,33,0.000667,2.2832,2.0,0.003045
Waushara,24443,13,0.000573,2.2453,2.0,0.002572
Winnebago,171907,109,0.00064,2.3747,1.6769,0.002548
Wood,72999,46,0.000644,2.5605,2.0,0.003297
