Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3193694,3215,0.001007,2.5635,1.0408,0.002687
Adjuntas,17363,4,0.000288,2.5635,2.0,0.001476
Aguada,36694,153,0.004197,2.5635,1.1591,0.01247
Aguadilla,50265,181,0.003621,2.5635,2.0,0.018564
Aguas Buenas,24814,20,0.000846,2.5635,1.8182,0.003944
Aibonito,22108,17,0.000814,2.5635,2.0,0.004174
Anasco,26161,46,0.001797,2.5635,1.0,0.004605
Arecibo,81966,68,0.000842,2.5635,1.0462,0.002258
Arroyo,17238,4,0.00029,2.5635,1.3333,0.000991
Barceloneta,23727,12,0.000548,2.5635,1.0,0.001405
Barranquitas,27725,22,0.00083,2.5635,1.375,0.002924
Bayamon,169269,158,0.000939,2.5635,1.6122,0.003882
Cabo Rojo,47515,114,0.00242,2.5635,1.0654,0.00661
Caguas,124606,126,0.001019,2.5635,1.7746,0.004637
Camuy,30504,28,0.000951,2.5635,1.2727,0.003102
Canovanas,44674,36,0.000828,2.5635,1.0,0.002123
Carolina,146984,137,0.000939,2.5635,1.123,0.002703
Catano,23121,19,0.000865,2.5635,1.2667,0.002809
Cayey,42409,15,0.000377,2.5635,1.0,0.000967
Ceiba,10904,10,0.001009,2.5635,1.0,0.002586
Ciales,15808,4,0.000316,2.5635,1.0,0.000811
Cidra,38307,28,0.000757,2.5635,1.0,0.001941
Coamo,38336,22,0.0006,2.5635,1.8333,0.00282
Comerio,18648,7,0.000429,2.5635,1.0,0.0011
Corozal,32293,18,0.000588,2.5635,1.0,0.001508
Culebra,1714,0,0.000583,2.5635,1.0,0.001496
Dorado,36141,46,0.0013,2.5635,1.0,0.003334
Fajardo,29454,56,0.001935,2.5635,1.6,0.007937
Florida,11317,10,0.000972,2.5635,1.0,0.002492
Guanica,15383,11,0.00078,2.5635,1.0,0.002
Guayama,39465,16,0.000431,2.5635,1.0,0.001104
Guayanilla,17623,13,0.000794,2.5635,1.0,0.002036
Guaynabo,83728,103,0.001242,2.5635,1.3919,0.004432
Gurabo,47093,35,0.000764,2.5635,1.0,0.00196
Hatillo,39218,44,0.001147,2.5635,1.0,0.002941
Hormigueros,15518,26,0.00174,2.5635,1.0,0.00446
Humacao,50653,46,0.000928,2.5635,1.0,0.002379
Isabela,40423,152,0.003785,2.5635,1.5354,0.014897
Jayuya,13891,1,0.000144,2.5635,1.0,0.000369
Juana Diaz,44679,23,0.000537,2.5635,1.0,0.001377
Juncos,38155,19,0.000524,2.5635,1.0,0.001344
Lajas,22010,22,0.001045,2.5635,1.1,0.002947
Lares,24276,16,0.0007,2.5635,1.0,0.001795
Las Marias,7927,9,0.001262,2.5635,1.0,0.003234
Las Piedras,37007,23,0.000649,2.5635,1.2778,0.002124
Loiza,24553,11,0.000489,2.5635,1.0,0.001253
Luquillo,17665,18,0.001076,2.5635,1.0,0.002757
Manati,37287,24,0.00067,2.5635,1.6,0.00275
Maricao,5430,3,0.000737,2.5635,1.0,0.001888
Maunabo,10321,1,0.000194,2.5635,1.0,0.000497
Mayaguez,71530,160,0.002251,2.5635,1.0,0.00577
Moca,34891,100,0.002895,2.5635,1.6129,0.011969
Morovis,30335,9,0.00033,2.5635,1.0,0.000845
Naguabo,25761,14,0.000582,2.5635,2.0,0.002985
Naranjito,27349,17,0.000658,2.5635,1.5455,0.002607
Orocovis,20220,5,0.000297,2.5635,1.0,0.000761
Patillas,16211,5,0.00037,2.5635,2.0,0.001898
Penuelas,19249,3,0.000208,2.5635,1.0,0.000533
Ponce,131881,67,0.000516,2.5635,1.4565,0.001925
Quebradillas,22918,27,0.001222,2.5635,1.2273,0.003844
Rincon,13656,19,0.001465,2.5635,1.9,0.007133
Rio Grande,48025,33,0.000708,2.5635,1.0,0.001815
Sabana Grande,21712,28,0.001336,2.5635,1.0,0.003424
Salinas,27128,3,0.000147,2.5635,1.0,0.000378
San German,30227,57,0.001919,2.5635,1.2955,0.006372
San Juan,318441,373,0.001174,2.5635,1.4685,0.004421
San Lorenzo,35989,11,0.000333,2.5635,1.0,0.000855
San Sebastian,35528,53,0.00152,2.5635,1.2927,0.005037
Santa Isabel,21209,11,0.000566,2.5635,2.0,0.002901
Toa Alta,72025,49,0.000694,2.5635,1.0,0.00178
Toa Baja,74271,61,0.000835,2.5635,1.0,0.00214
Trujillo Alto,63674,69,0.001099,2.5635,1.0147,0.00286
Utuado,27395,11,0.000438,2.5635,1.0,0.001123
Vega Alta,36061,50,0.001414,2.5635,2.0,0.007251
Vega Baja,50023,47,0.00096,2.5635,1.0,0.00246
Vieques,8386,0,0.000119,2.5635,1.0,0.000306
Villalba,21372,3,0.000187,2.5635,1.0,0.00048
Yabucoa,32282,12,0.000403,2.5635,1.0,0.001032
Yauco,33575,27,0.000834,2.5635,1.5,0.003207
