Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,12801989,6352,0.000496,2.3791,1.6998,0.002007
Adams,103009,75,0.000738,2.4129,1.4423,0.002568
Allegheny,1216045,711,0.000586,2.3747,2.0,0.002781
Armstrong,64735,20,0.000324,2.4905,1.1765,0.000951
Beaver,163929,118,0.000726,2.3921,2.0,0.003473
Bedford,47888,17,0.000376,2.3469,2.0,0.001764
Berks,421164,172,0.000411,2.3517,1.5357,0.001483
Blair,121829,36,0.000304,2.3059,2.0,0.001401
Bradford,60323,9,0.000166,2.3059,1.0,0.000382
Bucks,628270,353,0.000563,2.3564,1.6343,0.00217
Butler,187853,100,0.000538,2.3835,2.0,0.002563
Cambria,130192,52,0.000407,2.4625,1.9259,0.001931
Cameron,4447,1,0.00045,2.3656,1.0,0.001064
Carbon,64182,24,0.00039,2.361,1.0,0.00092
Centre,162385,60,0.000376,2.342,1.2245,0.001077
Chester,524989,198,0.000379,2.3371,1.7679,0.001566
Clarion,38438,13,0.000364,2.5694,1.625,0.001521
Clearfield,79255,48,0.000618,2.4478,2.0,0.003027
Clinton,38632,11,0.000311,2.4589,1.5714,0.0012
Columbia,64964,14,0.000231,2.2948,1.5556,0.000824
Crawford,84629,38,0.000461,2.6306,1.2667,0.001536
Cumberland,253370,122,0.000485,2.4088,1.4878,0.00174
Dauphin,278299,147,0.000532,2.4589,1.9342,0.002529
Delaware,566747,313,0.000554,2.3564,1.7989,0.002348
Elk,29910,14,0.000502,2.3321,2.0,0.002339
Erie,269728,94,0.000352,2.4478,2.0,0.001724
Fayette,129274,34,0.000271,2.252,2.0,0.001219
Forest,7247,1,0.000276,2.3921,1.0,0.00066
Franklin,155027,67,0.000439,2.3747,2.0,0.002083
Fulton,14530,1,0.000138,2.1917,1.0,0.000302
Greene,36233,11,0.000331,2.2239,1.2222,0.0009
Huntingdon,45144,16,0.000377,2.2163,1.7778,0.001484
Indiana,84073,48,0.000583,2.3791,2.0,0.002773
Jefferson,43425,6,0.000161,2.4005,1.2,0.000464
Juniata,24763,5,0.000242,2.3564,1.25,0.000714
Lackawanna,209674,67,0.000324,2.327,1.7179,0.001297
Lancaster,545724,304,0.000559,2.4326,1.865,0.002536
Lawrence,85512,85,0.001006,2.4802,2.0,0.004989
Lebanon,141793,71,0.000508,2.3963,2.0,0.002434
Lehigh,369318,171,0.000466,2.3921,1.379,0.001536
Luzerne,317417,176,0.000558,2.4441,1.9341,0.002636
Lycoming,113299,39,0.000353,2.3113,2.0,0.001632
McKean,40625,12,0.00032,2.4365,1.7143,0.001337
Mercer,109424,40,0.000375,2.3166,2.0,0.001736
Mifflin,46138,13,0.000303,2.2312,2.0,0.001354
Monroe,170271,104,0.000617,2.4441,1.1818,0.001781
Montgomery,830915,498,0.000601,2.3469,1.6221,0.002286
Montour,18230,5,0.000329,2.3469,2.0,0.001545
Northampton,305285,242,0.000796,2.4515,1.522,0.00297
Northumberland,90843,37,0.000418,2.3835,2.0,0.001994
Perry,46272,11,0.000259,2.3166,2.0,0.001202
Philadelphia,1584064,829,0.000524,2.3747,1.1434,0.001423
Pike,55809,37,0.000681,2.4209,2.0,0.003297
Potter,16526,5,0.000363,2.5007,1.6667,0.001513
Schuylkill,141359,37,0.000269,2.3564,1.2759,0.000808
Snyder,40372,5,0.000149,2.2649,1.25,0.000421
Somerset,73447,40,0.000558,2.3835,2.0,0.002661
Sullivan,6066,2,0.000495,2.0,1.0,0.000989
Susquehanna,40328,10,0.000273,2.2453,1.4286,0.000875
Tioga,40591,2,7.4e-05,2.1734,1.0,0.000161
Union,44923,18,0.000423,2.3321,2.0,0.001973
Venango,50668,15,0.000316,2.504,1.6667,0.001318
Warren,39191,7,0.000204,2.5635,1.0,0.000523
Washington,206865,115,0.000561,2.3469,2.0,0.002632
Wayne,51361,23,0.000467,2.4088,2.0,0.002251
Westmoreland,348899,156,0.00045,2.3371,1.9259,0.002025
Wyoming,26794,15,0.000597,2.4939,1.0,0.001489
York,449058,213,0.000477,2.3963,1.7899,0.002044
