Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3155070,2158,0.000684,2.6145,1.547,0.002768
Adair,7152,5,0.000839,2.8862,1.0,0.002421
Adams,3602,1,0.000555,2.5635,1.0,0.001423
Allamakee,13687,9,0.000731,2.4129,1.8,0.003173
Appanoose,12426,7,0.000644,2.6463,1.4,0.002385
Audubon,5496,7,0.001456,2.7948,1.0,0.004068
Benton,25645,15,0.000624,2.5575,2.0,0.003191
Black Hawk,131228,170,0.001303,2.7538,1.1806,0.004236
Boone,26234,25,0.000991,2.5605,1.25,0.003172
Bremer,25062,19,0.000798,2.7969,2.0,0.004464
Buchanan,21175,11,0.000567,2.6515,1.0,0.001503
Buena Vista,19620,13,0.000714,2.6091,1.0,0.001862
Butler,14439,13,0.00097,2.8398,1.8571,0.005113
Calhoun,9668,17,0.001862,2.8052,1.5455,0.008072
Carroll,20165,10,0.000545,2.5515,2.0,0.002784
Cass,12836,13,0.001091,2.9446,1.3,0.004175
Cedar,18627,14,0.000805,2.6438,2.0,0.004258
Cerro Gordo,42450,26,0.000636,2.4478,1.3,0.002024
Cherokee,11235,7,0.000712,2.4732,2.0,0.003522
Chickasaw,11933,3,0.000335,2.3517,1.0,0.000788
Clarke,9395,2,0.000319,2.3921,1.0,0.000764
Clay,16016,6,0.000437,2.3747,2.0,0.002076
Clayton,17549,2,0.000171,2.4732,1.0,0.000423
Clinton,46429,15,0.000345,2.4871,1.0714,0.000918
Crawford,16820,27,0.001665,2.6385,2.0,0.008785
Dallas,93453,66,0.000717,2.5605,1.375,0.002524
Davis,9000,17,0.002,2.9777,2.0,0.011911
Decatur,7870,2,0.000381,2.327,1.0,0.000887
Delaware,17011,16,0.000999,2.6091,2.0,0.005215
Des Moines,38967,35,0.000924,2.598,1.0,0.0024
Dickinson,17258,4,0.00029,2.6333,1.3333,0.001017
Dubuque,97311,32,0.000339,2.4589,1.6,0.001334
Emmet,9208,6,0.00076,2.5952,1.0,0.001973
Fayette,19650,7,0.000407,2.7335,1.75,0.001948
Floyd,15642,6,0.000448,2.4515,1.0,0.001097
Franklin,10070,14,0.00149,2.5106,1.0,0.00374
Fremont,6960,1,0.000287,2.5267,1.0,0.000726
Greene,8888,9,0.001125,2.8748,2.0,0.006469
Grundy,12232,4,0.000409,2.7756,1.3333,0.001513
Guthrie,10689,8,0.000842,2.6091,2.0,0.004394
Hamilton,14773,24,0.001692,2.6036,1.0,0.004406
