Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,8535519,6084,0.000713,2.5423,1.6006,0.002901
Accomack,32316,39,0.001238,2.8496,2.0,0.007054
Albemarle,109330,50,0.000466,2.4441,1.3514,0.001541
Alleghany,14860,3,0.000269,2.5361,1.0,0.000683
Amelia,13145,12,0.000989,2.9569,1.0,0.002924
Amherst,31605,39,0.001266,2.6791,2.0,0.006782
Appomattox,15911,18,0.001194,3.0999,2.0,0.007404
Arlington,236842,144,0.000612,2.3747,2.0,0.002908
Augusta,75558,45,0.000609,2.4905,2.0,0.003033
Bath,4147,2,0.000723,2.6913,1.0,0.001947
Bedford,78997,92,0.001177,2.8594,1.5082,0.005077
Bland,6280,2,0.000478,2.3321,2.0,0.002228
Botetourt,33419,35,0.001077,2.7778,1.0,0.002992
Brunswick,16231,6,0.000431,2.2832,1.5,0.001477
Buchanan,21004,15,0.000762,2.9304,2.0,0.004464
Buckingham,17148,22,0.001341,2.6359,2.0,0.007071
Campbell,54885,54,0.001002,3.0438,1.5429,0.004706
Caroline,30725,48,0.001595,2.5267,2.0,0.008059
Carroll,29791,23,0.000806,2.9534,1.5333,0.003648
Charles City,6963,2,0.000431,2.4209,2.0,0.002086
Charlotte,11880,5,0.000505,2.9777,1.0,0.001504
Chesterfield,352802,321,0.000913,2.6412,1.7351,0.004183
Clarke,14619,11,0.000821,2.5203,2.0,0.004138
Craig,5131,2,0.000585,2.5073,1.0,0.001466
Culpeper,52605,29,0.00057,2.5138,1.9333,0.002772
Cumberland,9932,6,0.000705,2.8257,1.0,0.001992
Dickenson,14318,7,0.000559,2.3219,1.0,0.001297
Dinwiddie,28544,31,0.001121,2.7313,2.0,0.006124
Essex,10953,8,0.000822,2.8729,1.0,0.002361
Fairfax,1147532,479,0.000418,2.4365,1.2842,0.001309
Fauquier,71222,50,0.000716,2.5515,2.0,0.003654
Floyd,15749,7,0.000508,2.6742,2.0,0.002717
Fluvanna,27270,9,0.000367,2.4515,1.5,0.001348
Franklin,56042,33,0.000607,2.708,1.4348,0.002357
Frederick,89313,72,0.000817,2.4589,1.0435,0.002097
Giles,16720,27,0.001675,2.2312,2.0,0.007473
Gloucester,37348,50,0.001366,2.7582,1.6667,0.006277
Goochland,23753,17,0.000758,2.628,2.0,0.003983
Grayson,15550,5,0.000386,2.9141,1.25,0.001406
Greene,19819,12,0.000656,2.4661,1.3333,0.002157
Greensville,11336,2,0.000265,2.2384,1.0,0.000592
Halifax,33911,15,0.000472,2.6118,1.875,0.002311
Hanover,107766,127,0.001188,2.6816,1.9242,0.006129
Henrico,330818,259,0.000786,2.5545,1.589,0.00319
Henry,50557,27,0.000554,2.5423,1.35,0.001901
Highland,2190,1,0.000913,2.6463,1.0,0.002417
Isle of Wight,37109,38,0.001051,2.6438,1.9,0.005279
James City,76523,41,0.000549,2.2948,1.0513,0.001324
King and Queen,7025,0,0.000142,2.5267,1.0,0.00036
King George,26836,13,0.000522,2.5605,1.625,0.002171
King William,17148,17,0.00105,2.3791,1.8889,0.004717
Lancaster,10603,6,0.00066,2.4515,1.5,0.002428
Lee,23423,9,0.000427,2.4871,1.0,0.001062
Loudoun,413538,224,0.000544,2.4287,1.3254,0.001751
Louisa,37591,12,0.000346,2.4697,1.0,0.000854
Lunenburg,12196,4,0.00041,2.5361,1.0,0.00104
Madison,13261,5,0.000452,2.3747,1.0,0.001074
Mathews,8834,7,0.000906,2.9268,2.0,0.005301
Mecklenburg,30587,42,0.001406,2.62,1.8261,0.006726
Middlesex,10582,4,0.000473,2.3656,1.0,0.001118
Montgomery,98535,17,0.000183,2.4802,1.0,0.000453
Nelson,14930,4,0.000335,2.361,1.0,0.000791
New Kent,23091,42,0.001862,2.8417,2.0,0.010584
Northampton,11710,4,0.000427,2.6385,1.0,0.001127
Northumberland,12095,8,0.000744,2.5484,1.3333,0.002528
Nottoway,15232,15,0.00105,2.7104,1.0714,0.00305
Orange,37051,32,0.000891,2.6145,2.0,0.004657
Page,23902,21,0.00092,2.6008,1.1667,0.002793
Patrick,17608,7,0.000454,2.6667,1.1667,0.001414
Pittsylvania,60354,40,0.000679,2.8652,1.0,0.001946
Powhatan,29652,3,0.000135,2.4209,1.0,0.000327
Prince Edward,22802,13,0.000614,2.7735,1.1818,0.002012
Prince George,38353,60,0.00159,2.8094,1.875,0.008378
Prince William,470335,264,0.000563,2.4661,1.3822,0.001921
Pulaski,34027,46,0.001381,2.6961,2.0,0.007448
Rappahannock,7370,5,0.000814,2.4441,1.25,0.002487
Richmond,9023,5,0.000665,2.4939,1.0,0.001658
Roanoke,94186,98,0.001051,2.6592,1.4,0.003913
Rockbridge,22573,5,0.000266,2.5106,1.0,0.000667
Rockingham,81948,46,0.000574,2.5575,1.3529,0.001985
Russell,26586,10,0.000414,2.3963,1.0,0.000991
Scott,21566,17,0.000835,2.7756,2.0,0.004633
Shenandoah,43616,27,0.000642,2.3963,1.5882,0.002443
Smyth,30104,18,0.000631,2.6463,2.0,0.00334
Southampton,17631,5,0.00034,2.2163,1.0,0.000754
Spotsylvania,136215,118,0.000874,2.6091,1.7353,0.003955
Stafford,152882,128,0.000844,2.5694,1.6623,0.003604
Surry,6422,4,0.000779,2.3219,2.0,0.003616
Sussex,11159,8,0.000807,2.4515,2.0,0.003954
Tazewell,40595,18,0.000468,2.504,2.0,0.002344
Warren,40164,20,0.000523,2.533,1.0,0.001324
Washington,53740,48,0.000912,2.8031,1.5484,0.003958
Westmoreland,18015,7,0.000444,2.3747,1.75,0.001845
Wise,37383,43,0.001177,2.342,2.0,0.005513
Wythe,28684,45,0.001604,2.8843,2.0,0.009251
York,68280,53,0.000791,2.6642,1.7667,0.003722
Alexandria,159428,103,0.000652,2.4478,1.411,0.002253
Bristol,16762,28,0.00173,3.0406,2.0,0.010521
Buena Vista,6478,0,0.000154,2.3321,1.0,0.00036
Charlottesville,47266,23,0.000508,2.3747,1.2778,0.001541
Chesapeake,244835,261,0.00107,2.6692,1.8643,0.005325
Colonial Heights,17370,21,0.001267,2.5664,2.0,0.006501
Covington,5538,6,0.001264,2.9777,1.2,0.004517
Danville,40044,29,0.000749,2.5896,1.5263,0.002961
Emporia,5346,6,0.001309,2.9141,1.0,0.003816
Fairfax City,24019,10,0.000458,2.5423,1.0,0.001164
Falls Church,14617,1,0.000137,2.2712,1.0,0.000311
Franklin City,7967,13,0.001757,2.6865,2.0,0.009442
Fredericksburg,29036,16,0.000585,2.6791,1.0,0.001569
Galax,6347,7,0.00126,2.89,2.0,0.007285
Hampton,134510,106,0.000795,2.6566,1.0392,0.002196
Harrisonburg,53016,8,0.00017,2.4403,1.0,0.000414
Hopewell,22529,33,0.001509,2.6667,1.5714,0.006324
Lexington,7446,0,0.000134,2.2003,1.0,0.000295
Lynchburg,82168,76,0.000937,2.767,1.8537,0.004806
Manassas,41085,11,0.000292,2.3469,1.375,0.000943
Manassas Park,17478,2,0.000172,2.5423,1.0,0.000436
Martinsville,12554,4,0.000398,2.7471,2.0,0.002188
Newport News,179225,171,0.00096,2.7448,2.0,0.005268
Norfolk,242742,154,0.000639,2.6515,1.8333,0.003104
Norton,3981,9,0.002512,2.6592,2.0,0.013359
Petersburg,31346,98,0.003158,2.4287,2.0,0.015341
Poquoson,12271,7,0.000652,2.4552,1.0,0.001601
Portsmouth,94398,93,0.000996,2.6642,2.0,0.005306
Radford,18249,82,0.004548,2.62,2.0,0.023832
Richmond City,230436,149,0.000651,2.5454,1.3423,0.002224
Roanoke City,99143,104,0.001059,2.4905,1.3,0.003429
Salem,25301,25,0.001028,2.5752,1.3889,0.003676
Staunton,24932,16,0.000682,2.4403,2.0,0.003328
Suffolk,92108,75,0.000825,2.6592,1.1538,0.002532
Virginia Beach,449974,395,0.00088,2.6333,1.4416,0.003341
Waynesboro,22630,15,0.000707,2.5267,1.0,0.001786
Williamsburg,14954,9,0.000669,2.0,2.0,0.002675
Winchester,28078,14,0.000534,2.4248,2.0,0.002591
