Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,762062,447,0.000588,2.342,2.0,0.002754
Adams,2216,1,0.000903,2.4088,1.0,0.002174
Barnes,10415,5,0.000576,2.2003,1.0,0.001268
Benson,6832,1,0.000293,2.0,1.0,0.000585
Billings,928,0,0.001078,2.342,1.0,0.002524
Bottineau,6282,2,0.000478,2.4515,1.0,0.001171
Bowman,3024,0,0.000331,2.342,1.0,0.000774
Burke,2115,1,0.000946,2.342,1.0,0.002215
Burleigh,95626,64,0.00068,2.2832,1.2308,0.00191
Cass,181923,100,0.000555,2.4088,2.0,0.002675
Cavalier,3762,0,0.000266,2.342,1.0,0.000623
Dickey,4872,1,0.000411,2.4326,1.0,0.000999
Divide,2264,0,0.000442,2.342,1.0,0.001034
Dunn,4424,3,0.000904,2.5781,1.5,0.003497
Eddy,2287,0,0.000437,2.342,1.0,0.001024
Emmons,3241,0,0.000309,2.342,1.0,0.000723
Foster,3210,0,0.000312,2.5073,1.0,0.000781
Golden Valley,1761,1,0.001136,2.4871,1.0,0.002825
Grand Forks,69451,31,0.000461,2.3963,2.0,0.002208
Grant,2274,0,0.00044,2.342,1.0,0.00103
Griggs,2231,0,0.000448,2.342,1.0,0.00105
Hettinger,2499,1,0.0008,2.342,1.0,0.001874
Kidder,2480,7,0.003226,2.6463,1.0,0.008537
LaMoure,4046,0,0.000247,2.342,1.0,0.000579
Logan,1850,0,0.000541,2.342,1.0,0.001266
McHenry,5745,5,0.001044,2.3656,2.0,0.004941
McIntosh,2497,0,0.0004,2.342,1.0,0.000938
McKenzie,15024,11,0.000799,2.4326,2.0,0.003886
McLean,9450,10,0.001164,2.7174,1.4286,0.004519
Mercer,8187,3,0.000489,2.4365,1.5,0.001786
Morton,31364,23,0.000765,2.4661,1.6429,0.0031
Mountrail,10545,12,0.001233,2.1828,1.5,0.004037
Nelson,2879,0,0.000347,2.342,1.0,0.000813
Oliver,1959,1,0.001021,2.342,1.0,0.002391
Pembina,6801,3,0.000588,2.2832,2.0,0.002686
Pierce,3975,3,0.001006,2.9141,2.0,0.005865
Ramsey,11519,1,0.000174,2.1917,1.0,0.000381
Ransom,5218,2,0.000575,2.3921,1.0,0.001375
Renville,2327,2,0.001289,2.342,1.0,0.003019
Richland,16177,9,0.000618,2.4625,1.0,0.001522
Rolette,14176,0,7.1e-05,2.342,1.0,0.000165
Sargent,3898,2,0.00077,2.4871,1.0,0.001914
Sheridan,1315,2,0.002281,2.342,2.0,0.010686
Sioux,4230,1,0.000473,2.342,1.0,0.001107
Slope,750,0,0.001333,2.342,1.0,0.003123
Stark,31489,25,0.000826,2.2948,2.0,0.00379
Steele,1890,1,0.001058,2.342,1.0,0.002478
Stutsman,20704,6,0.000338,2.1156,1.0,0.000715
Towner,2189,1,0.000914,2.342,1.0,0.00214
Traill,8036,3,0.000498,2.342,1.0,0.001166
Walsh,10641,4,0.00047,2.5106,1.0,0.00118
Ward,67641,80,0.001197,2.4871,1.4815,0.004412
Wells,3834,1,0.000522,2.342,1.0,0.001222
Williams,37589,18,0.000505,2.4005,2.0,0.002427
