Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,21477737,110724,0.005155,2.7969,1.5133,0.02182
Alachua,269043,1087,0.004044,2.7735,1.642,0.018416
Baker,29210,227,0.007806,2.976,1.0966,0.025473
Bay,174705,1410,0.008076,3.0277,1.4185,0.034687
Bradford,28201,207,0.007376,2.934,1.1829,0.025597
Brevard,601942,3519,0.005848,2.8135,1.6247,0.02673
Broward,1952778,9081,0.004651,2.7582,1.4998,0.019239
Calhoun,14105,98,0.007019,2.8073,1.0426,0.020542
Charlotte,188910,558,0.002959,2.7582,1.7117,0.01397
Citrus,149657,654,0.004377,2.9482,2.0,0.025806
Clay,219252,1588,0.007247,3.0277,1.3367,0.029331
Collier,384902,1439,0.003741,2.8011,1.6617,0.017413
Columbia,71686,547,0.007644,2.9708,1.9676,0.044685
DeSoto,38001,112,0.002974,2.8516,2.0,0.016959
Dixie,16826,90,0.005408,2.9122,1.4516,0.022863
Duval,957755,8343,0.008712,2.9569,1.2985,0.033451
Escambia,318316,1630,0.005124,3.0179,2.0,0.030926
Flagler,115081,671,0.005839,2.7799,1.6733,0.027163
Franklin,12125,73,0.006103,3.0502,2.0,0.037231
Gadsden,45660,171,0.003767,2.7471,1.0,0.010348
Gilchrist,18582,89,0.004843,2.9674,1.5893,0.022841
Glades,13811,9,0.000724,2.3004,1.0,0.001666
Gulf,13639,129,0.009531,3.0309,1.6974,0.049036
Hamilton,14428,68,0.004782,2.89,1.7436,0.024098
Hardee,26937,126,0.004715,2.7358,1.1351,0.014642
Hendry,42022,112,0.002689,2.7778,1.8983,0.01418
Hernando,193920,1153,0.005951,2.9862,2.0,0.035541
Highlands,106221,314,0.002966,2.7057,2.0,0.016047
Hillsborough,1471968,7198,0.004891,2.8257,1.3561,0.018741
Holmes,19617,94,0.004843,2.9828,2.0,0.02889
Indian River,159923,681,0.004265,2.8114,1.8016,0.0216
Jackson,46414,310,0.006701,2.5298,1.4554,0.024671
Jefferson,14246,67,0.004773,2.7713,2.0,0.026456
Lafayette,8422,47,0.005699,2.7127,1.4242,0.02202
Lake,367118,1962,0.005347,2.8729,1.6841,0.025871
Lee,770577,2956,0.003837,2.8277,1.7959,0.019487
Leon,293582,1517,0.005171,2.7313,1.7995,0.025413
Levy,41503,210,0.005084,2.8417,1.3208,0.019081
Liberty,8354,55,0.006703,2.9268,1.6176,0.031737
Madison,18493,85,0.00465,3.047,2.0,0.02834
Manatee,403253,1547,0.003839,2.8155,1.561,0.016872
Marion,365579,1880,0.005145,2.9232,1.7973,0.027033
Martin,161000,556,0.00346,2.7969,1.173,0.01135
Miami-Dade,2716940,15584,0.005736,2.6692,1.4056,0.021522
Monroe,74228,247,0.003341,2.8031,2.0,0.018731
Nassau,88625,812,0.009173,2.9141,1.2303,0.032889
Okaloosa,210738,816,0.003877,2.9845,1.7817,0.020615
Okeechobee,42168,152,0.003628,2.6008,2.0,0.018873
Orange,1393452,7931,0.005692,2.8237,1.4822,0.023823
Osceola,375751,2160,0.005751,2.8575,1.4624,0.024033
Palm Beach,1496770,5958,0.003981,2.8094,1.4966,0.016739
Pasco,553947,2892,0.005223,2.871,1.7677,0.026505
Pinellas,974996,4145,0.004252,2.7515,1.5501,0.018137
Polk,724777,4127,0.005696,2.8457,1.7082,0.027686
Putnam,74521,443,0.005958,2.9639,1.2137,0.021433
St. Johns,264672,1640,0.0062,2.8417,1.2823,0.022592
St. Lucie,328297,1601,0.00488,2.9012,1.519,0.021504
Santa Rosa,184313,773,0.004199,2.9879,1.7689,0.022195
Sarasota,433742,1417,0.003269,2.7221,1.5868,0.014121
Seminole,471826,2420,0.005131,2.8672,1.5326,0.022548
Sumter,132420,322,0.002439,2.7313,1.6345,0.010889
Suwannee,44417,246,0.005561,2.8398,2.0,0.031583
Taylor,21569,74,0.003477,2.8477,2.0,0.019804
Union,15237,132,0.008729,3.0908,1.7143,0.046249
Volusia,553284,3514,0.006353,2.8614,1.6201,0.029451
Wakulla,33739,206,0.006135,2.976,2.0,0.036517
Walton,74071,332,0.004496,3.0277,1.908,0.025971
Washington,25473,111,0.004397,2.9286,1.4416,0.018562
