Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,28995881,64671,0.00223,2.7471,1.7913,0.010975
Anderson,57735,39,0.000693,2.5423,1.0,0.001761
Andrews,18705,28,0.00155,2.8862,2.0,0.00895
Angelina,86715,175,0.00203,2.7884,1.5909,0.009004
Aransas,23510,44,0.001914,2.9049,1.1892,0.006612
Archer,8553,6,0.000818,2.8614,2.0,0.004684
Armstrong,1887,5,0.00318,2.0,1.0,0.006359
Atascosa,51153,149,0.002932,2.9177,1.0136,0.008672
Austin,30032,48,0.001632,2.8338,1.6552,0.007653
Bailey,7000,2,0.000429,2.7471,1.0,0.001177
Bandera,23112,48,0.00212,2.903,2.0,0.01231
Bastrop,88723,303,0.003426,2.8417,2.0,0.019474
Baylor,3509,3,0.00114,2.7471,2.0,0.006263
Bee,32565,69,0.00215,2.5664,1.5333,0.008459
Bell,362924,663,0.00183,2.7863,1.1571,0.005899
Bexar,2003554,5883,0.002937,2.8237,2.0,0.016585
Blanco,11931,16,0.001425,2.7127,1.4545,0.005622
Borden,654,1,0.003058,2.7471,1.0,0.008401
Bosque,18685,47,0.002569,2.925,2.0,0.015028
Bowie,93245,193,0.002081,2.6541,1.5691,0.008664
Brazoria,374264,1002,0.00268,2.7778,2.0,0.014888
Brazos,229211,297,0.0013,2.6642,1.2913,0.004473
Brewster,9203,6,0.000761,2.6913,1.0,0.002047
Briscoe,1546,7,0.005175,2.9141,2.0,0.030159
Brooks,7093,23,0.003384,2.5575,1.9167,0.016586
Brown,37864,128,0.003407,2.6118,1.1963,0.010645
Burleson,18443,29,0.001627,2.8297,1.45,0.006674
Burnet,48155,166,0.003468,2.8155,1.8864,0.018419
Caldwell,43664,155,0.003573,2.8496,2.0,0.020362
Calhoun,21290,40,0.001926,2.8457,1.0,0.00548
Callahan,13943,28,0.00208,3.0406,2.0,0.012648
Cameron,423163,766,0.001813,2.7948,1.2852,0.006511
