Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,6137428,18220,0.002969,2.6889,1.0768,0.008596
Kansas City,488943,1566,0.003205,2.6889,1.3282,0.011446
Adair,25343,61,0.002446,2.729,1.2449,0.008311
Andrew,17712,42,0.002428,2.4552,1.0,0.005961
Atchison,5143,10,0.002139,2.8787,2.0,0.012314
Audrain,25388,69,0.002757,2.4625,1.4375,0.00976
Barry,35789,99,0.002794,2.5924,1.0,0.007244
Barton,11754,54,0.004679,2.8843,1.125,0.015184
Bates,16172,84,0.005256,3.0047,1.6471,0.026011
Benton,19443,68,0.003549,2.7057,1.0,0.009602
Bollinger,12133,23,0.001978,2.6063,2.0,0.010311
Boone,180463,498,0.002765,2.708,1.0,0.007488
Buchanan,87364,379,0.00435,2.8437,1.0161,0.012568
Butler,42478,151,0.003578,2.8748,1.2583,0.012945
Caldwell,9020,19,0.002217,2.7969,1.0,0.006201
Callaway,44743,225,0.005051,2.7713,1.3975,0.019562
Camden,46305,167,0.003628,2.684,1.0705,0.010425
Cape Girardeau,78871,165,0.002105,2.5664,1.3983,0.007553
Carroll,8679,15,0.001844,2.5392,1.0,0.004681
Carter,5982,14,0.002508,2.9012,1.0,0.007275
Cass,105780,322,0.003054,2.7127,1.1298,0.009359
Cedar,14349,61,0.004321,2.9049,1.0,0.012552
Chariton,7426,24,0.003367,2.8257,1.0,0.009513
Christian,88595,336,0.003804,2.6742,1.0,0.010172
Clark,6797,20,0.00309,2.8338,2.0,0.01751
Clay,249948,297,0.001192,2.6692,1.3562,0.004316
Clinton,20387,64,0.003188,2.6145,1.0,0.008336
Cole,76745,391,0.005108,2.7948,1.1568,0.016514
Cooper,17709,53,0.003049,2.9794,1.0816,0.009827
Crawford,23920,78,0.003303,2.8575,1.6957,0.016002
Dade,7561,18,0.002513,2.3702,1.2857,0.007658
Dallas,16878,74,0.004444,2.6091,1.0,0.011594
Daviess,8278,22,0.002778,2.6592,2.0,0.014777
DeKalb,12547,25,0.002072,2.5924,1.0,0.005372
Dent,15573,59,0.003853,2.7127,1.0,0.010452
Douglas,13185,72,0.005537,3.0892,1.0,0.017104
Dunklin,29131,55,0.001922,2.4478,1.0,0.004706
Franklin,103967,213,0.002058,2.628,1.5106,0.008172
Gasconade,14706,22,0.001564,2.6145,1.0,0.004089
Gentry,6571,30,0.004718,2.3835,1.0,0.011245
Greene,293086,1123,0.003835,2.6515,1.0,0.010169
Grundy,9850,25,0.00264,2.8135,1.0,0.007426
Harrison,8352,13,0.001676,2.8417,1.0833,0.00516
Henry,21824,104,0.004811,2.8691,1.3506,0.018644
Hickory,9544,37,0.003982,2.3656,1.0882,0.01025
Holt,4403,19,0.004542,2.8496,1.9,0.024594
Howard,10001,21,0.0022,2.6145,1.0,0.005751
Howell,40117,280,0.007005,3.0597,1.0566,0.022645
Iron,10125,11,0.001185,2.504,1.0,0.002968
Jackson,703011,1340,0.001908,2.7313,1.2823,0.006681
Jasper,121328,496,0.004096,2.729,1.0,0.011179
Jefferson,225081,474,0.00211,2.6692,1.3022,0.007335
Johnson,54062,151,0.002812,2.6463,1.0,0.00744
Knox,3959,1,0.000505,2.4802,1.0,0.001253
Laclede,35723,189,0.005319,2.729,1.1667,0.016934
Lafayette,32708,114,0.003516,2.6865,1.3571,0.012819
Lawrence,38355,159,0.004172,2.5423,1.0,0.010605
Lewis,9776,30,0.003171,2.5267,1.0,0.008012
Lincoln,59013,166,0.00283,2.7197,1.328,0.010221
Linn,11920,15,0.001342,2.4589,1.0,0.0033
